nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.4;
2;0.0;0.421;
3;0.0;0.41;
4;0.0;0.404;
5;0.0;0.38;
6;0.0;0.422;
7;0.0;0.428;
8;0.0;0.369;
9;0.0;0.398;
10;0.0;0.376;
11;0.0;0.387;
12;0.0;0.384;
13;0.0;0.416;
14;0.0;0.383;
15;0.0;0.371;
16;0.0;0.371;
17;0.0;0.367;
18;0.0;0.377;
19;0.0;0.323;
20;0.0;0.319;
21;0.0;0.349;
22;0.0;0.332;
23;0.0;0.36;
24;0.0;0.36;
25;0.0;0.344;
26;0.0;0.318;
27;0.0;0.328;
28;0.0;0.328;
29;0.0;0.314;
30;0.0;0.304;
31;0.0;0.329;
32;0.0;0.337;
33;0.0;0.341;
34;0.0;0.319;
35;0.0;0.311;
36;0.0;0.284;
37;0.0;0.318;
38;0.0;0.306;
39;0.0;0.287;
40;0.0;0.31;
41;0.0;0.342;
42;0.0;0.35;
43;0.0;0.328;
44;0.0;0.311;
45;0.0;0.286;
46;0.0;0.299;
47;0.0;0.317;
48;0.0;0.328;
49;0.0;0.333;
50;0.0;0.305;
51;0.0;0.28;
52;0.0;0.307;
53;0.0;0.283;
54;0.0;0.299;
55;0.0;0.3;
56;0.0;0.339;
57;0.0;0.293;
58;0.0;0.264;
59;0.0;0.292;
60;0.0;0.307;
61;0.0;0.332;
62;0.0;0.312;
63;0.0;0.309;
64;0.0;0.329;
65;0.0;0.338;
66;0.0;0.317;
67;0.0;0.367;
68;0.0;0.337;
69;0.0;0.334;
70;0.0;0.314;
71;0.0;0.332;
72;0.0;0.329;
73;0.0;0.311;
74;0.0;0.302;
75;0.0;0.301;
76;0.0;0.32;
77;0.0;0.333;
78;0.0;0.326;
79;0.0;0.324;
80;0.0;0.288;
81;0.0;0.314;
82;0.0;0.3;
83;0.0;0.334;
84;0.0;0.321;
85;0.0;0.353;
86;0.0;0.341;
87;0.0;0.35;
88;0.0;0.333;
89;0.0;0.327;
90;0.0;0.321;
91;0.0;0.322;
92;0.0;0.311;
93;0.0;0.321;
94;0.0;0.311;
95;0.0;0.319;
96;0.0;0.348;
97;0.0;0.34;
98;0.0;0.302;
99;0.0;0.294;
100;0.0;0.309;
101;0.0;0.326;
102;0.0;0.347;
103;0.0;0.361;
104;0.0;0.324;
105;0.0;0.301;
106;0.0;0.308;
107;0.0;0.312;
108;0.0;0.296;
109;0.0;0.291;
110;0.0;0.35;
111;0.0;0.289;
112;0.0;0.285;
113;0.0;0.272;
114;0.0;0.311;
115;0.0;0.322;
116;0.0;0.308;
117;0.0;0.301;
118;0.0;0.355;
119;0.0;0.329;
120;0.0;0.317;
121;0.0;0.354;
122;0.0;0.346;
123;0.0;0.324;
124;0.0;0.301;
125;0.0;0.33;
126;0.0;0.323;
127;0.0;0.302;
128;0.0;0.296;
129;0.0;0.289;
130;0.0;0.302;
131;0.0;0.332;
132;0.0;0.3;
133;0.0;0.316;
134;0.0;0.281;
135;0.0;0.291;
136;0.0;0.282;
137;0.0;0.326;
138;0.0;0.284;
139;0.0;0.333;
140;0.0;0.293;
141;0.0;0.335;
142;0.0;0.347;
143;0.0;0.329;
144;0.0;0.313;
145;0.0;0.329;
146;0.0;0.315;
147;0.0;0.313;
148;0.0;0.308;
149;0.0;0.296;
150;0.0;0.33;
151;0.0;0.336;
152;0.0;0.297;
153;0.0;0.286;
154;0.0;0.306;
155;0.0;0.316;
156;0.0;0.338;
157;0.0;0.34;
158;0.0;0.316;
159;0.0;0.289;
160;0.0;0.3;
161;0.0;0.285;
162;0.0;0.295;
163;0.0;0.282;
164;0.0;0.341;
165;0.0;0.301;
166;0.0;0.285;
167;0.0;0.273;
168;0.0;0.29;
169;0.0;0.336;
170;0.0;0.298;
171;0.0;0.294;
172;0.0;0.357;
173;0.0;0.306;
174;0.0;0.323;
175;0.0;0.344;
176;0.0;0.359;
177;0.0;0.311;
178;0.0;0.301;
179;0.0;0.33;
180;0.0;0.312;
181;0.0;0.309;
182;0.0;0.289;
183;0.0;0.305;
184;0.0;0.307;
185;0.0;0.333;
186;0.0;0.292;
187;0.0;0.313;
188;0.0;0.281;
189;0.0;0.282;
190;0.0;0.274;
191;0.0;0.326;
