nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.395;
2;0.0;0.431;
3;0.0;0.418;
4;0.0;0.411;
5;0.0;0.385;
6;0.0;0.425;
7;0.0;0.421;
8;0.0;0.384;
9;0.0;0.402;
10;0.0;0.384;
11;0.0;0.388;
12;0.0;0.388;
13;0.0;0.418;
14;0.0;0.387;
15;0.0;0.358;
16;0.0;0.356;
17;0.0;0.364;
18;0.0;0.37;
19;0.0;0.305;
20;0.0;0.312;
21;0.0;0.344;
22;0.0;0.329;
23;0.0;0.357;
24;0.0;0.344;
25;0.0;0.325;
26;0.0;0.31;
27;0.0;0.311;
28;0.0;0.313;
29;0.0;0.301;
30;0.0;0.309;
31;0.0;0.321;
32;0.0;0.342;
33;0.0;0.321;
34;0.0;0.304;
35;0.0;0.298;
36;0.0;0.263;
37;0.0;0.308;
38;0.0;0.289;
39;0.0;0.277;
40;0.0;0.295;
41;0.0;0.318;
42;0.0;0.336;
43;0.0;0.317;
44;0.0;0.306;
45;0.0;0.283;
46;0.0;0.309;
47;0.0;0.314;
48;0.0;0.317;
49;0.0;0.334;
50;0.0;0.315;
51;0.0;0.273;
52;0.0;0.298;
53;0.0;0.282;
54;0.0;0.314;
55;0.0;0.302;
56;0.0;0.322;
57;0.0;0.291;
58;0.0;0.259;
59;0.0;0.292;
60;0.0;0.309;
61;0.0;0.316;
62;0.0;0.322;
63;0.0;0.309;
64;0.0;0.344;
65;0.0;0.345;
66;0.0;0.333;
67;0.0;0.374;
68;0.0;0.339;
69;0.0;0.331;
70;0.0;0.31;
71;0.0;0.326;
72;0.0;0.321;
73;0.0;0.291;
74;0.0;0.301;
75;0.0;0.284;
76;0.0;0.304;
77;0.0;0.334;
78;0.0;0.334;
79;0.0;0.315;
80;0.0;0.29;
81;0.0;0.309;
82;0.0;0.298;
83;0.0;0.328;
84;0.0;0.32;
85;0.0;0.349;
86;0.0;0.327;
87;0.0;0.344;
88;0.0;0.34;
89;0.0;0.324;
90;0.0;0.307;
91;0.0;0.336;
92;0.0;0.313;
93;0.0;0.315;
94;0.0;0.322;
95;0.0;0.317;
96;0.0;0.331;
97;0.0;0.354;
98;0.0;0.306;
99;0.0;0.286;
100;0.0;0.305;
101;0.0;0.32;
102;0.0;0.337;
103;0.0;0.352;
104;0.0;0.301;
105;0.0;0.282;
106;0.0;0.304;
107;0.0;0.306;
108;0.0;0.302;
109;0.0;0.289;
110;0.0;0.35;
111;0.0;0.29;
112;0.0;0.289;
113;0.0;0.273;
114;0.0;0.319;
115;0.0;0.337;
116;0.0;0.324;
117;0.0;0.303;
118;0.0;0.353;
119;0.0;0.325;
120;0.0;0.312;
121;0.0;0.342;
122;0.0;0.344;
123;0.0;0.311;
124;0.0;0.297;
125;0.0;0.328;
126;0.0;0.319;
127;0.0;0.297;
128;0.0;0.28;
129;0.0;0.285;
130;0.0;0.284;
131;0.0;0.32;
132;0.0;0.296;
133;0.0;0.334;
134;0.0;0.279;
135;0.0;0.285;
136;0.0;0.303;
137;0.0;0.345;
138;0.0;0.292;
139;0.0;0.33;
140;0.0;0.296;
141;0.0;0.334;
142;0.0;0.345;
143;0.0;0.321;
144;0.0;0.295;
145;0.0;0.337;
146;0.0;0.304;
147;0.0;0.315;
148;0.0;0.301;
149;0.0;0.29;
150;0.0;0.323;
151;0.0;0.325;
152;0.0;0.304;
153;0.0;0.284;
154;0.0;0.3;
155;0.0;0.305;
156;0.0;0.318;
157;0.0;0.332;
158;0.0;0.316;
159;0.0;0.284;
160;0.0;0.3;
161;0.0;0.287;
162;0.0;0.294;
163;0.0;0.285;
164;0.0;0.346;
165;0.0;0.293;
166;0.0;0.277;
167;0.0;0.268;
168;0.0;0.29;
169;0.0;0.336;
170;0.0;0.3;
171;0.0;0.293;
172;0.0;0.364;
173;0.0;0.309;
174;0.0;0.322;
175;0.0;0.335;
176;0.0;0.349;
177;0.0;0.301;
178;0.0;0.307;
179;0.0;0.31;
180;0.0;0.311;
181;0.0;0.296;
182;0.0;0.271;
183;0.0;0.289;
184;0.0;0.286;
185;0.0;0.318;
186;0.0;0.294;
187;0.0;0.296;
188;0.0;0.266;
189;0.0;0.283;
190;0.0;0.275;
191;0.0;0.328;
