nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.415;
2;0.0;0.441;
3;0.0;0.414;
4;0.0;0.409;
5;0.0;0.409;
6;0.0;0.468;
7;0.0;0.458;
8;0.0;0.434;
9;0.0;0.462;
10;0.0;0.424;
11;0.0;0.428;
12;0.0;0.457;
13;0.0;0.485;
14;0.0;0.446;
15;0.0;0.43;
16;0.0;0.439;
17;0.0;0.456;
18;0.0;0.47;
19;0.0;0.426;
20;0.0;0.427;
21;0.0;0.448;
22;0.0;0.46;
23;0.0;0.465;
24;0.0;0.477;
25;0.0;0.432;
26;0.0;0.433;
27;0.0;0.446;
28;0.0;0.444;
29;0.0;0.462;
30;0.0;0.444;
31;0.0;0.462;
32;0.0;0.463;
33;0.0;0.445;
34;0.0;0.423;
35;0.0;0.405;
36;0.0;0.429;
37;0.0;0.444;
38;0.0;0.454;
39;0.0;0.411;
40;0.0;0.427;
41;0.0;0.436;
42;0.0;0.446;
43;0.0;0.422;
44;0.0;0.433;
45;0.0;0.417;
46;0.0;0.428;
47;0.0;0.427;
48;0.0;0.432;
49;0.0;0.45;
50;0.0;0.435;
51;0.0;0.38;
52;0.0;0.403;
53;0.0;0.385;
54;0.0;0.384;
55;0.0;0.387;
56;0.0;0.43;
57;0.0;0.386;
58;0.0;0.362;
59;0.0;0.37;
60;0.0;0.417;
61;0.0;0.427;
62;0.0;0.413;
63;0.0;0.374;
64;0.0;0.413;
65;0.0;0.391;
66;0.0;0.393;
67;0.0;0.434;
68;0.0;0.391;
69;0.0;0.415;
70;0.0;0.4;
71;0.0;0.41;
72;0.0;0.392;
73;0.0;0.382;
74;0.0;0.348;
75;0.0;0.376;
76;0.0;0.387;
77;0.0;0.403;
78;0.0;0.411;
79;0.0;0.38;
80;0.0;0.373;
81;0.0;0.377;
82;0.0;0.367;
83;0.0;0.391;
84;0.0;0.375;
85;0.0;0.4;
86;0.0;0.379;
87;0.0;0.403;
88;0.0;0.373;
89;0.0;0.369;
90;0.0;0.376;
91;0.0;0.381;
92;0.0;0.398;
93;0.0;0.368;
94;0.0;0.371;
95;0.0;0.38;
96;0.0;0.394;
97;0.0;0.392;
98;0.0;0.372;
99;0.0;0.333;
100;0.0;0.373;
101;0.0;0.355;
102;0.0;0.38;
103;0.0;0.405;
104;0.0;0.382;
105;0.0;0.337;
106;0.0;0.36;
107;0.0;0.34;
108;0.0;0.349;
109;0.0;0.36;
110;0.0;0.408;
111;0.0;0.337;
112;0.0;0.35;
113;0.0;0.334;
114;0.0;0.374;
115;0.0;0.422;
116;0.0;0.383;
117;0.0;0.35;
118;0.0;0.399;
119;0.0;0.362;
120;0.0;0.37;
121;0.0;0.411;
122;0.0;0.416;
123;0.0;0.381;
124;0.0;0.353;
125;0.0;0.397;
126;0.0;0.373;
127;0.0;0.37;
128;0.0;0.321;
129;0.0;0.366;
130;0.0;0.364;
131;0.0;0.39;
132;0.0;0.383;
133;0.0;0.377;
134;0.0;0.357;
135;0.0;0.368;
136;0.0;0.354;
137;0.0;0.382;
138;0.0;0.352;
139;0.0;0.4;
140;0.0;0.343;
141;0.0;0.379;
142;0.0;0.374;
143;0.0;0.365;
144;0.0;0.346;
145;0.0;0.366;
146;0.0;0.387;
147;0.0;0.364;
148;0.0;0.345;
149;0.0;0.37;
150;0.0;0.374;
151;0.0;0.363;
152;0.0;0.353;
153;0.0;0.331;
154;0.0;0.348;
155;0.0;0.335;
156;0.0;0.363;
157;0.0;0.38;
158;0.0;0.381;
159;0.0;0.331;
160;0.0;0.334;
161;0.0;0.33;
162;0.0;0.331;
163;0.0;0.345;
164;0.0;0.393;
165;0.0;0.334;
166;0.0;0.339;
167;0.0;0.318;
168;0.0;0.341;
169;0.0;0.406;
170;0.0;0.376;
171;0.0;0.334;
172;0.0;0.371;
173;0.0;0.34;
174;0.0;0.367;
175;0.0;0.392;
176;0.0;0.38;
177;0.0;0.362;
178;0.0;0.35;
179;0.0;0.372;
180;0.0;0.374;
181;0.0;0.35;
182;0.0;0.312;
183;0.0;0.33;
184;0.0;0.355;
185;0.0;0.37;
186;0.0;0.369;
187;0.0;0.357;
188;0.0;0.352;
189;0.0;0.349;
190;0.0;0.322;
191;0.0;0.38;
