nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.408;
2;0.0;0.432;
3;0.0;0.417;
4;0.0;0.398;
5;0.0;0.385;
6;0.0;0.435;
7;0.0;0.426;
8;0.0;0.398;
9;0.0;0.412;
10;0.0;0.387;
11;0.0;0.399;
12;0.0;0.384;
13;0.0;0.422;
14;0.0;0.387;
15;0.0;0.374;
16;0.0;0.373;
17;0.0;0.384;
18;0.0;0.371;
19;0.0;0.323;
20;0.0;0.317;
21;0.0;0.352;
22;0.0;0.343;
23;0.0;0.36;
24;0.0;0.351;
25;0.0;0.34;
26;0.0;0.315;
27;0.0;0.335;
28;0.0;0.33;
29;0.0;0.327;
30;0.0;0.324;
31;0.0;0.331;
32;0.0;0.344;
33;0.0;0.334;
34;0.0;0.309;
35;0.0;0.313;
36;0.0;0.28;
37;0.0;0.318;
38;0.0;0.305;
39;0.0;0.286;
40;0.0;0.314;
41;0.0;0.324;
42;0.0;0.351;
43;0.0;0.323;
44;0.0;0.316;
45;0.0;0.29;
46;0.0;0.314;
47;0.0;0.33;
48;0.0;0.338;
49;0.0;0.335;
50;0.0;0.314;
51;0.0;0.283;
52;0.0;0.314;
53;0.0;0.295;
54;0.0;0.319;
55;0.0;0.3;
56;0.0;0.342;
57;0.0;0.289;
58;0.0;0.26;
59;0.0;0.3;
60;0.0;0.311;
61;0.0;0.329;
62;0.0;0.322;
63;0.0;0.311;
64;0.0;0.338;
65;0.0;0.338;
66;0.0;0.328;
67;0.0;0.382;
68;0.0;0.336;
69;0.0;0.325;
70;0.0;0.309;
71;0.0;0.342;
72;0.0;0.338;
73;0.0;0.31;
74;0.0;0.303;
75;0.0;0.287;
76;0.0;0.319;
77;0.0;0.34;
78;0.0;0.345;
79;0.0;0.324;
80;0.0;0.304;
81;0.0;0.325;
82;0.0;0.303;
83;0.0;0.349;
84;0.0;0.312;
85;0.0;0.351;
86;0.0;0.327;
87;0.0;0.341;
88;0.0;0.332;
89;0.0;0.336;
90;0.0;0.321;
91;0.0;0.332;
92;0.0;0.323;
93;0.0;0.324;
94;0.0;0.321;
95;0.0;0.329;
96;0.0;0.353;
97;0.0;0.348;
98;0.0;0.314;
99;0.0;0.306;
100;0.0;0.319;
101;0.0;0.328;
102;0.0;0.348;
103;0.0;0.369;
104;0.0;0.328;
105;0.0;0.311;
106;0.0;0.321;
107;0.0;0.316;
108;0.0;0.318;
109;0.0;0.321;
110;0.0;0.377;
111;0.0;0.305;
112;0.0;0.302;
113;0.0;0.3;
114;0.0;0.341;
115;0.0;0.369;
116;0.0;0.342;
117;0.0;0.31;
118;0.0;0.369;
119;0.0;0.342;
120;0.0;0.343;
121;0.0;0.384;
122;0.0;0.362;
123;0.0;0.343;
124;0.0;0.318;
125;0.0;0.35;
126;0.0;0.356;
127;0.0;0.316;
128;0.0;0.303;
129;0.0;0.326;
130;0.0;0.324;
131;0.0;0.345;
132;0.0;0.334;
133;0.0;0.337;
134;0.0;0.296;
135;0.0;0.31;
136;0.0;0.311;
137;0.0;0.354;
138;0.0;0.299;
139;0.0;0.361;
140;0.0;0.316;
141;0.0;0.356;
142;0.0;0.365;
143;0.0;0.348;
144;0.0;0.333;
145;0.0;0.356;
146;0.0;0.341;
147;0.0;0.34;
148;0.0;0.318;
149;0.0;0.325;
150;0.0;0.341;
151;0.0;0.349;
152;0.0;0.33;
153;0.0;0.309;
154;0.0;0.309;
155;0.0;0.329;
156;0.0;0.348;
157;0.0;0.358;
158;0.0;0.345;
159;0.0;0.308;
160;0.0;0.326;
161;0.0;0.31;
162;0.0;0.309;
163;0.0;0.303;
164;0.0;0.365;
165;0.0;0.317;
166;0.0;0.32;
167;0.0;0.288;
168;0.0;0.306;
169;0.0;0.349;
170;0.0;0.33;
171;0.0;0.316;
172;0.0;0.37;
173;0.0;0.326;
174;0.0;0.331;
175;0.0;0.348;
176;0.0;0.362;
177;0.0;0.321;
178;0.0;0.323;
179;0.0;0.336;
180;0.0;0.33;
181;0.0;0.326;
182;0.0;0.31;
183;0.0;0.325;
184;0.0;0.312;
185;0.0;0.336;
186;0.0;0.315;
187;0.0;0.328;
188;0.0;0.299;
189;0.0;0.324;
190;0.0;0.301;
191;0.0;0.356;
