nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.404;
2;0.0;0.441;
3;0.0;0.406;
4;0.0;0.408;
5;0.0;0.402;
6;0.0;0.469;
7;0.0;0.457;
8;0.0;0.431;
9;0.0;0.45;
10;0.0;0.421;
11;0.0;0.422;
12;0.0;0.449;
13;0.0;0.477;
14;0.0;0.436;
15;0.0;0.422;
16;0.0;0.418;
17;0.0;0.433;
18;0.0;0.443;
19;0.0;0.41;
20;0.0;0.416;
21;0.0;0.418;
22;0.0;0.434;
23;0.0;0.435;
24;0.0;0.454;
25;0.0;0.417;
26;0.0;0.406;
27;0.0;0.427;
28;0.0;0.43;
29;0.0;0.437;
30;0.0;0.421;
31;0.0;0.434;
32;0.0;0.447;
33;0.0;0.431;
34;0.0;0.417;
35;0.0;0.396;
36;0.0;0.414;
37;0.0;0.443;
38;0.0;0.442;
39;0.0;0.399;
40;0.0;0.41;
41;0.0;0.419;
42;0.0;0.424;
43;0.0;0.406;
44;0.0;0.415;
45;0.0;0.397;
46;0.0;0.412;
47;0.0;0.413;
48;0.0;0.411;
49;0.0;0.433;
50;0.0;0.409;
51;0.0;0.361;
52;0.0;0.385;
53;0.0;0.372;
54;0.0;0.376;
55;0.0;0.379;
56;0.0;0.409;
57;0.0;0.376;
58;0.0;0.343;
59;0.0;0.353;
60;0.0;0.399;
61;0.0;0.406;
62;0.0;0.4;
63;0.0;0.371;
64;0.0;0.405;
65;0.0;0.381;
66;0.0;0.366;
67;0.0;0.426;
68;0.0;0.394;
69;0.0;0.411;
70;0.0;0.388;
71;0.0;0.406;
72;0.0;0.4;
73;0.0;0.373;
74;0.0;0.339;
75;0.0;0.369;
76;0.0;0.388;
77;0.0;0.399;
78;0.0;0.411;
79;0.0;0.375;
80;0.0;0.37;
81;0.0;0.374;
82;0.0;0.374;
83;0.0;0.396;
84;0.0;0.365;
85;0.0;0.391;
86;0.0;0.384;
87;0.0;0.403;
88;0.0;0.36;
89;0.0;0.363;
90;0.0;0.375;
91;0.0;0.394;
92;0.0;0.399;
93;0.0;0.352;
94;0.0;0.369;
95;0.0;0.369;
96;0.0;0.397;
97;0.0;0.376;
98;0.0;0.372;
99;0.0;0.327;
100;0.0;0.37;
101;0.0;0.353;
102;0.0;0.366;
103;0.0;0.399;
104;0.0;0.382;
105;0.0;0.331;
106;0.0;0.341;
107;0.0;0.33;
108;0.0;0.333;
109;0.0;0.341;
110;0.0;0.391;
111;0.0;0.328;
112;0.0;0.336;
113;0.0;0.328;
114;0.0;0.359;
115;0.0;0.403;
116;0.0;0.376;
117;0.0;0.326;
118;0.0;0.384;
119;0.0;0.359;
120;0.0;0.356;
121;0.0;0.406;
122;0.0;0.416;
123;0.0;0.385;
124;0.0;0.363;
125;0.0;0.395;
126;0.0;0.362;
127;0.0;0.362;
128;0.0;0.307;
129;0.0;0.346;
130;0.0;0.358;
131;0.0;0.388;
132;0.0;0.384;
133;0.0;0.381;
134;0.0;0.343;
135;0.0;0.354;
136;0.0;0.35;
137;0.0;0.385;
138;0.0;0.344;
139;0.0;0.408;
140;0.0;0.335;
141;0.0;0.386;
142;0.0;0.373;
143;0.0;0.358;
144;0.0;0.337;
145;0.0;0.368;
146;0.0;0.389;
147;0.0;0.351;
148;0.0;0.335;
149;0.0;0.37;
150;0.0;0.385;
151;0.0;0.368;
152;0.0;0.352;
153;0.0;0.325;
154;0.0;0.347;
155;0.0;0.334;
156;0.0;0.352;
157;0.0;0.374;
158;0.0;0.381;
159;0.0;0.322;
160;0.0;0.315;
161;0.0;0.319;
162;0.0;0.329;
163;0.0;0.336;
164;0.0;0.391;
165;0.0;0.322;
166;0.0;0.327;
167;0.0;0.305;
168;0.0;0.338;
169;0.0;0.418;
170;0.0;0.378;
171;0.0;0.325;
172;0.0;0.378;
173;0.0;0.339;
174;0.0;0.354;
175;0.0;0.38;
176;0.0;0.385;
177;0.0;0.355;
178;0.0;0.346;
179;0.0;0.354;
180;0.0;0.372;
181;0.0;0.34;
182;0.0;0.308;
183;0.0;0.324;
184;0.0;0.344;
185;0.0;0.362;
186;0.0;0.366;
187;0.0;0.36;
188;0.0;0.342;
189;0.0;0.34;
190;0.0;0.321;
191;0.0;0.37;
