nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.408;
2;0.0;0.441;
3;0.0;0.404;
4;0.0;0.411;
5;0.0;0.401;
6;0.0;0.45;
7;0.0;0.441;
8;0.0;0.42;
9;0.0;0.446;
10;0.0;0.412;
11;0.0;0.411;
12;0.0;0.439;
13;0.0;0.473;
14;0.0;0.438;
15;0.0;0.412;
16;0.0;0.432;
17;0.0;0.451;
18;0.0;0.461;
19;0.0;0.427;
20;0.0;0.424;
21;0.0;0.456;
22;0.0;0.464;
23;0.0;0.454;
24;0.0;0.475;
25;0.0;0.451;
26;0.0;0.428;
27;0.0;0.448;
28;0.0;0.432;
29;0.0;0.44;
30;0.0;0.444;
31;0.0;0.484;
32;0.0;0.466;
33;0.0;0.462;
34;0.0;0.443;
35;0.0;0.433;
36;0.0;0.443;
37;0.0;0.462;
38;0.0;0.431;
39;0.0;0.406;
40;0.0;0.426;
41;0.0;0.444;
42;0.0;0.428;
43;0.0;0.429;
44;0.0;0.405;
45;0.0;0.392;
46;0.0;0.397;
47;0.0;0.408;
48;0.0;0.41;
49;0.0;0.422;
50;0.0;0.418;
51;0.0;0.341;
52;0.0;0.383;
53;0.0;0.355;
54;0.0;0.376;
55;0.0;0.372;
56;0.0;0.391;
57;0.0;0.349;
58;0.0;0.358;
59;0.0;0.34;
60;0.0;0.397;
61;0.0;0.377;
62;0.0;0.377;
63;0.0;0.362;
64;0.0;0.379;
65;0.0;0.366;
66;0.0;0.366;
67;0.0;0.4;
68;0.0;0.369;
69;0.0;0.389;
70;0.0;0.369;
71;0.0;0.385;
72;0.0;0.379;
73;0.0;0.362;
74;0.0;0.332;
75;0.0;0.372;
76;0.0;0.38;
77;0.0;0.373;
78;0.0;0.384;
79;0.0;0.36;
80;0.0;0.34;
81;0.0;0.366;
82;0.0;0.34;
83;0.0;0.362;
84;0.0;0.373;
85;0.0;0.382;
86;0.0;0.366;
87;0.0;0.378;
88;0.0;0.345;
89;0.0;0.326;
90;0.0;0.337;
91;0.0;0.355;
92;0.0;0.37;
93;0.0;0.348;
94;0.0;0.365;
95;0.0;0.336;
96;0.0;0.358;
97;0.0;0.34;
98;0.0;0.344;
99;0.0;0.3;
100;0.0;0.364;
101;0.0;0.328;
102;0.0;0.334;
103;0.0;0.362;
104;0.0;0.338;
105;0.0;0.3;
106;0.0;0.315;
107;0.0;0.295;
108;0.0;0.304;
109;0.0;0.307;
110;0.0;0.354;
111;0.0;0.288;
112;0.0;0.294;
113;0.0;0.268;
114;0.0;0.316;
115;0.0;0.353;
116;0.0;0.325;
117;0.0;0.301;
118;0.0;0.346;
119;0.0;0.303;
120;0.0;0.296;
121;0.0;0.34;
122;0.0;0.336;
123;0.0;0.323;
124;0.0;0.298;
125;0.0;0.339;
126;0.0;0.316;
127;0.0;0.305;
128;0.0;0.258;
129;0.0;0.314;
130;0.0;0.304;
131;0.0;0.331;
132;0.0;0.316;
133;0.0;0.322;
134;0.0;0.292;
135;0.0;0.31;
136;0.0;0.285;
137;0.0;0.316;
138;0.0;0.284;
139;0.0;0.333;
140;0.0;0.281;
141;0.0;0.333;
142;0.0;0.317;
143;0.0;0.284;
144;0.0;0.295;
145;0.0;0.302;
146;0.0;0.334;
147;0.0;0.312;
148;0.0;0.31;
149;0.0;0.306;
150;0.0;0.34;
151;0.0;0.299;
152;0.0;0.307;
153;0.0;0.28;
154;0.0;0.319;
155;0.0;0.301;
156;0.0;0.303;
157;0.0;0.318;
158;0.0;0.318;
159;0.0;0.277;
160;0.0;0.273;
161;0.0;0.273;
162;0.0;0.286;
163;0.0;0.282;
164;0.0;0.322;
165;0.0;0.272;
166;0.0;0.286;
167;0.0;0.237;
168;0.0;0.275;
169;0.0;0.326;
170;0.0;0.327;
171;0.0;0.279;
172;0.0;0.319;
173;0.0;0.274;
174;0.0;0.282;
175;0.0;0.328;
176;0.0;0.326;
177;0.0;0.297;
178;0.0;0.302;
179;0.0;0.33;
180;0.0;0.318;
181;0.0;0.298;
182;0.0;0.256;
183;0.0;0.289;
184;0.0;0.297;
185;0.0;0.322;
186;0.0;0.316;
187;0.0;0.317;
188;0.0;0.306;
189;0.0;0.313;
190;0.0;0.271;
191;0.0;0.316;
