nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.41;
2;0.0;0.426;
3;0.0;0.412;
4;0.0;0.401;
5;0.0;0.385;
6;0.0;0.422;
7;0.0;0.422;
8;0.0;0.377;
9;0.0;0.396;
10;0.0;0.372;
11;0.0;0.393;
12;0.0;0.386;
13;0.0;0.413;
14;0.0;0.385;
15;0.0;0.366;
16;0.0;0.368;
17;0.0;0.365;
18;0.0;0.373;
19;0.0;0.324;
20;0.0;0.31;
21;0.0;0.343;
22;0.0;0.323;
23;0.0;0.344;
24;0.0;0.345;
25;0.0;0.327;
26;0.0;0.308;
27;0.0;0.314;
28;0.0;0.307;
29;0.0;0.3;
30;0.0;0.299;
31;0.0;0.303;
32;0.0;0.333;
33;0.0;0.329;
34;0.0;0.307;
35;0.0;0.287;
36;0.0;0.279;
37;0.0;0.318;
38;0.0;0.297;
39;0.0;0.283;
40;0.0;0.315;
41;0.0;0.335;
42;0.0;0.348;
43;0.0;0.331;
44;0.0;0.309;
45;0.0;0.281;
46;0.0;0.298;
47;0.0;0.317;
48;0.0;0.325;
49;0.0;0.337;
50;0.0;0.313;
51;0.0;0.282;
52;0.0;0.297;
53;0.0;0.27;
54;0.0;0.304;
55;0.0;0.293;
56;0.0;0.335;
57;0.0;0.29;
58;0.0;0.26;
59;0.0;0.287;
60;0.0;0.322;
61;0.0;0.318;
62;0.0;0.31;
63;0.0;0.305;
64;0.0;0.338;
65;0.0;0.343;
66;0.0;0.316;
67;0.0;0.368;
68;0.0;0.331;
69;0.0;0.33;
70;0.0;0.313;
71;0.0;0.324;
72;0.0;0.326;
73;0.0;0.296;
74;0.0;0.293;
75;0.0;0.281;
76;0.0;0.304;
77;0.0;0.32;
78;0.0;0.325;
79;0.0;0.327;
80;0.0;0.29;
81;0.0;0.301;
82;0.0;0.301;
83;0.0;0.328;
84;0.0;0.309;
85;0.0;0.325;
86;0.0;0.323;
87;0.0;0.33;
88;0.0;0.32;
89;0.0;0.32;
90;0.0;0.308;
91;0.0;0.317;
92;0.0;0.307;
93;0.0;0.306;
94;0.0;0.317;
95;0.0;0.312;
96;0.0;0.344;
97;0.0;0.34;
98;0.0;0.303;
99;0.0;0.285;
100;0.0;0.291;
101;0.0;0.318;
102;0.0;0.345;
103;0.0;0.365;
104;0.0;0.315;
105;0.0;0.295;
106;0.0;0.307;
107;0.0;0.311;
108;0.0;0.304;
109;0.0;0.294;
110;0.0;0.357;
111;0.0;0.287;
112;0.0;0.285;
113;0.0;0.279;
114;0.0;0.308;
115;0.0;0.347;
116;0.0;0.307;
117;0.0;0.298;
118;0.0;0.353;
119;0.0;0.318;
120;0.0;0.316;
121;0.0;0.352;
122;0.0;0.331;
123;0.0;0.333;
124;0.0;0.293;
125;0.0;0.324;
126;0.0;0.325;
127;0.0;0.304;
128;0.0;0.284;
129;0.0;0.294;
130;0.0;0.306;
131;0.0;0.313;
132;0.0;0.31;
133;0.0;0.319;
134;0.0;0.28;
135;0.0;0.28;
136;0.0;0.288;
137;0.0;0.338;
138;0.0;0.276;
139;0.0;0.323;
140;0.0;0.292;
141;0.0;0.332;
142;0.0;0.327;
143;0.0;0.304;
144;0.0;0.309;
145;0.0;0.326;
146;0.0;0.308;
147;0.0;0.308;
148;0.0;0.291;
149;0.0;0.282;
150;0.0;0.313;
151;0.0;0.317;
152;0.0;0.293;
153;0.0;0.278;
154;0.0;0.282;
155;0.0;0.295;
156;0.0;0.32;
157;0.0;0.334;
158;0.0;0.309;
159;0.0;0.274;
160;0.0;0.298;
161;0.0;0.283;
162;0.0;0.281;
163;0.0;0.277;
164;0.0;0.331;
165;0.0;0.282;
166;0.0;0.269;
167;0.0;0.273;
168;0.0;0.28;
169;0.0;0.32;
170;0.0;0.292;
171;0.0;0.279;
172;0.0;0.344;
173;0.0;0.294;
174;0.0;0.302;
175;0.0;0.322;
176;0.0;0.336;
177;0.0;0.304;
178;0.0;0.287;
179;0.0;0.305;
180;0.0;0.302;
181;0.0;0.293;
182;0.0;0.278;
183;0.0;0.278;
184;0.0;0.285;
185;0.0;0.303;
186;0.0;0.294;
187;0.0;0.293;
188;0.0;0.268;
189;0.0;0.277;
190;0.0;0.276;
191;0.0;0.316;
