nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.4;
2;0.0;0.424;
3;0.0;0.414;
4;0.0;0.401;
5;0.0;0.382;
6;0.0;0.427;
7;0.0;0.423;
8;0.0;0.391;
9;0.0;0.399;
10;0.0;0.381;
11;0.0;0.394;
12;0.0;0.386;
13;0.0;0.409;
14;0.0;0.39;
15;0.0;0.368;
16;0.0;0.373;
17;0.0;0.375;
18;0.0;0.374;
19;0.0;0.318;
20;0.0;0.325;
21;0.0;0.348;
22;0.0;0.334;
23;0.0;0.348;
24;0.0;0.351;
25;0.0;0.337;
26;0.0;0.313;
27;0.0;0.325;
28;0.0;0.328;
29;0.0;0.32;
30;0.0;0.303;
31;0.0;0.318;
32;0.0;0.337;
33;0.0;0.32;
34;0.0;0.294;
35;0.0;0.298;
36;0.0;0.277;
37;0.0;0.318;
38;0.0;0.299;
39;0.0;0.276;
40;0.0;0.3;
41;0.0;0.321;
42;0.0;0.346;
43;0.0;0.323;
44;0.0;0.316;
45;0.0;0.28;
46;0.0;0.3;
47;0.0;0.32;
48;0.0;0.333;
49;0.0;0.333;
50;0.0;0.314;
51;0.0;0.283;
52;0.0;0.297;
53;0.0;0.269;
54;0.0;0.308;
55;0.0;0.298;
56;0.0;0.321;
57;0.0;0.28;
58;0.0;0.268;
59;0.0;0.282;
60;0.0;0.295;
61;0.0;0.319;
62;0.0;0.32;
63;0.0;0.303;
64;0.0;0.339;
65;0.0;0.327;
66;0.0;0.317;
67;0.0;0.362;
68;0.0;0.328;
69;0.0;0.33;
70;0.0;0.311;
71;0.0;0.316;
72;0.0;0.317;
73;0.0;0.294;
74;0.0;0.294;
75;0.0;0.294;
76;0.0;0.316;
77;0.0;0.321;
78;0.0;0.328;
79;0.0;0.331;
80;0.0;0.299;
81;0.0;0.321;
82;0.0;0.305;
83;0.0;0.339;
84;0.0;0.302;
85;0.0;0.328;
86;0.0;0.323;
87;0.0;0.33;
88;0.0;0.332;
89;0.0;0.326;
90;0.0;0.328;
91;0.0;0.332;
92;0.0;0.319;
93;0.0;0.316;
94;0.0;0.314;
95;0.0;0.328;
96;0.0;0.355;
97;0.0;0.357;
98;0.0;0.309;
99;0.0;0.295;
100;0.0;0.308;
101;0.0;0.331;
102;0.0;0.339;
103;0.0;0.351;
104;0.0;0.306;
105;0.0;0.295;
106;0.0;0.303;
107;0.0;0.308;
108;0.0;0.3;
109;0.0;0.29;
110;0.0;0.359;
111;0.0;0.284;
112;0.0;0.285;
113;0.0;0.29;
114;0.0;0.331;
115;0.0;0.339;
116;0.0;0.317;
117;0.0;0.297;
118;0.0;0.355;
119;0.0;0.318;
120;0.0;0.305;
121;0.0;0.36;
122;0.0;0.35;
123;0.0;0.334;
124;0.0;0.306;
125;0.0;0.325;
126;0.0;0.325;
127;0.0;0.299;
128;0.0;0.286;
129;0.0;0.298;
130;0.0;0.294;
131;0.0;0.318;
132;0.0;0.301;
133;0.0;0.303;
134;0.0;0.279;
135;0.0;0.286;
136;0.0;0.29;
137;0.0;0.335;
138;0.0;0.276;
139;0.0;0.329;
140;0.0;0.301;
141;0.0;0.323;
142;0.0;0.327;
143;0.0;0.323;
144;0.0;0.32;
145;0.0;0.329;
146;0.0;0.309;
147;0.0;0.311;
148;0.0;0.294;
149;0.0;0.287;
150;0.0;0.324;
151;0.0;0.313;
152;0.0;0.312;
153;0.0;0.29;
154;0.0;0.3;
155;0.0;0.313;
156;0.0;0.344;
157;0.0;0.338;
158;0.0;0.326;
159;0.0;0.28;
160;0.0;0.301;
161;0.0;0.281;
162;0.0;0.288;
163;0.0;0.279;
164;0.0;0.348;
165;0.0;0.283;
166;0.0;0.295;
167;0.0;0.283;
168;0.0;0.293;
169;0.0;0.338;
170;0.0;0.311;
171;0.0;0.294;
172;0.0;0.362;
173;0.0;0.319;
174;0.0;0.331;
175;0.0;0.339;
176;0.0;0.361;
177;0.0;0.309;
178;0.0;0.302;
179;0.0;0.317;
180;0.0;0.309;
181;0.0;0.309;
182;0.0;0.276;
183;0.0;0.286;
184;0.0;0.293;
185;0.0;0.312;
186;0.0;0.286;
187;0.0;0.299;
188;0.0;0.283;
189;0.0;0.29;
190;0.0;0.276;
191;0.0;0.327;
