nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.401;
2;0.0;0.433;
3;0.0;0.408;
4;0.0;0.392;
5;0.0;0.389;
6;0.0;0.436;
7;0.0;0.424;
8;0.0;0.404;
9;0.0;0.418;
10;0.0;0.387;
11;0.0;0.397;
12;0.0;0.395;
13;0.0;0.428;
14;0.0;0.396;
15;0.0;0.372;
16;0.0;0.37;
17;0.0;0.382;
18;0.0;0.381;
19;0.0;0.332;
20;0.0;0.33;
21;0.0;0.359;
22;0.0;0.345;
23;0.0;0.374;
24;0.0;0.353;
25;0.0;0.328;
26;0.0;0.309;
27;0.0;0.319;
28;0.0;0.316;
29;0.0;0.308;
30;0.0;0.31;
31;0.0;0.321;
32;0.0;0.341;
33;0.0;0.319;
34;0.0;0.301;
35;0.0;0.3;
36;0.0;0.266;
37;0.0;0.304;
38;0.0;0.293;
39;0.0;0.267;
40;0.0;0.294;
41;0.0;0.29;
42;0.0;0.323;
43;0.0;0.303;
44;0.0;0.292;
45;0.0;0.271;
46;0.0;0.284;
47;0.0;0.295;
48;0.0;0.315;
49;0.0;0.324;
50;0.0;0.281;
51;0.0;0.263;
52;0.0;0.294;
53;0.0;0.249;
54;0.0;0.304;
55;0.0;0.299;
56;0.0;0.309;
57;0.0;0.264;
58;0.0;0.252;
59;0.0;0.286;
60;0.0;0.297;
61;0.0;0.305;
62;0.0;0.298;
63;0.0;0.29;
64;0.0;0.348;
65;0.0;0.336;
66;0.0;0.316;
67;0.0;0.374;
68;0.0;0.343;
69;0.0;0.328;
70;0.0;0.304;
71;0.0;0.331;
72;0.0;0.318;
73;0.0;0.303;
74;0.0;0.293;
75;0.0;0.294;
76;0.0;0.328;
77;0.0;0.342;
78;0.0;0.347;
79;0.0;0.337;
80;0.0;0.301;
81;0.0;0.324;
82;0.0;0.311;
83;0.0;0.343;
84;0.0;0.316;
85;0.0;0.364;
86;0.0;0.335;
87;0.0;0.347;
88;0.0;0.338;
89;0.0;0.327;
90;0.0;0.328;
91;0.0;0.332;
92;0.0;0.331;
93;0.0;0.323;
94;0.0;0.318;
95;0.0;0.336;
96;0.0;0.359;
97;0.0;0.355;
98;0.0;0.325;
99;0.0;0.296;
100;0.0;0.313;
101;0.0;0.331;
102;0.0;0.353;
103;0.0;0.37;
104;0.0;0.337;
105;0.0;0.308;
106;0.0;0.329;
107;0.0;0.312;
108;0.0;0.308;
109;0.0;0.293;
110;0.0;0.37;
111;0.0;0.292;
112;0.0;0.296;
113;0.0;0.28;
114;0.0;0.326;
115;0.0;0.348;
116;0.0;0.342;
117;0.0;0.302;
118;0.0;0.371;
119;0.0;0.335;
120;0.0;0.335;
121;0.0;0.383;
122;0.0;0.36;
123;0.0;0.346;
124;0.0;0.318;
125;0.0;0.345;
126;0.0;0.339;
127;0.0;0.314;
128;0.0;0.295;
129;0.0;0.314;
130;0.0;0.321;
131;0.0;0.34;
132;0.0;0.33;
133;0.0;0.341;
134;0.0;0.299;
135;0.0;0.301;
136;0.0;0.307;
137;0.0;0.336;
138;0.0;0.291;
139;0.0;0.356;
140;0.0;0.295;
141;0.0;0.342;
142;0.0;0.348;
143;0.0;0.333;
144;0.0;0.314;
145;0.0;0.345;
146;0.0;0.341;
147;0.0;0.32;
148;0.0;0.309;
149;0.0;0.316;
150;0.0;0.36;
151;0.0;0.337;
152;0.0;0.321;
153;0.0;0.301;
154;0.0;0.3;
155;0.0;0.331;
156;0.0;0.351;
157;0.0;0.349;
158;0.0;0.339;
159;0.0;0.307;
160;0.0;0.311;
161;0.0;0.316;
162;0.0;0.31;
163;0.0;0.291;
164;0.0;0.368;
165;0.0;0.297;
166;0.0;0.291;
167;0.0;0.272;
168;0.0;0.3;
169;0.0;0.347;
170;0.0;0.324;
171;0.0;0.301;
172;0.0;0.358;
173;0.0;0.317;
174;0.0;0.326;
175;0.0;0.347;
176;0.0;0.359;
177;0.0;0.316;
178;0.0;0.307;
179;0.0;0.324;
180;0.0;0.321;
181;0.0;0.309;
182;0.0;0.288;
183;0.0;0.301;
184;0.0;0.313;
185;0.0;0.331;
186;0.0;0.308;
187;0.0;0.306;
188;0.0;0.297;
189;0.0;0.294;
190;0.0;0.285;
191;0.0;0.335;
