nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.408;
2;0.0;0.438;
3;0.0;0.414;
4;0.0;0.407;
5;0.0;0.396;
6;0.0;0.435;
7;0.0;0.423;
8;0.0;0.397;
9;0.0;0.419;
10;0.0;0.395;
11;0.0;0.422;
12;0.0;0.419;
13;0.0;0.461;
14;0.0;0.443;
15;0.0;0.401;
16;0.0;0.402;
17;0.0;0.395;
18;0.0;0.4;
19;0.0;0.352;
20;0.0;0.346;
21;0.0;0.371;
22;0.0;0.374;
23;0.0;0.394;
24;0.0;0.398;
25;0.0;0.363;
26;0.0;0.347;
27;0.0;0.359;
28;0.0;0.36;
29;0.0;0.356;
30;0.0;0.355;
31;0.0;0.352;
32;0.0;0.384;
33;0.0;0.356;
34;0.0;0.343;
35;0.0;0.355;
36;0.0;0.329;
37;0.0;0.362;
38;0.0;0.335;
39;0.0;0.313;
40;0.0;0.337;
41;0.0;0.353;
42;0.0;0.369;
43;0.0;0.362;
44;0.0;0.349;
45;0.0;0.321;
46;0.0;0.339;
47;0.0;0.34;
48;0.0;0.358;
49;0.0;0.364;
50;0.0;0.339;
51;0.0;0.311;
52;0.0;0.323;
53;0.0;0.306;
54;0.0;0.345;
55;0.0;0.342;
56;0.0;0.356;
57;0.0;0.32;
58;0.0;0.289;
59;0.0;0.324;
60;0.0;0.353;
61;0.0;0.363;
62;0.0;0.35;
63;0.0;0.32;
64;0.0;0.363;
65;0.0;0.357;
66;0.0;0.357;
67;0.0;0.406;
68;0.0;0.377;
69;0.0;0.372;
70;0.0;0.34;
71;0.0;0.366;
72;0.0;0.358;
73;0.0;0.35;
74;0.0;0.327;
75;0.0;0.328;
76;0.0;0.352;
77;0.0;0.385;
78;0.0;0.374;
79;0.0;0.369;
80;0.0;0.33;
81;0.0;0.337;
82;0.0;0.34;
83;0.0;0.377;
84;0.0;0.337;
85;0.0;0.387;
86;0.0;0.355;
87;0.0;0.377;
88;0.0;0.353;
89;0.0;0.357;
90;0.0;0.355;
91;0.0;0.371;
92;0.0;0.367;
93;0.0;0.342;
94;0.0;0.351;
95;0.0;0.364;
96;0.0;0.375;
97;0.0;0.378;
98;0.0;0.348;
99;0.0;0.33;
100;0.0;0.344;
101;0.0;0.352;
102;0.0;0.366;
103;0.0;0.394;
104;0.0;0.355;
105;0.0;0.324;
106;0.0;0.338;
107;0.0;0.33;
108;0.0;0.326;
109;0.0;0.329;
110;0.0;0.391;
111;0.0;0.314;
112;0.0;0.316;
113;0.0;0.314;
114;0.0;0.358;
115;0.0;0.388;
116;0.0;0.372;
117;0.0;0.343;
118;0.0;0.381;
119;0.0;0.357;
120;0.0;0.365;
121;0.0;0.406;
122;0.0;0.403;
123;0.0;0.359;
124;0.0;0.326;
125;0.0;0.368;
126;0.0;0.38;
127;0.0;0.337;
128;0.0;0.31;
129;0.0;0.351;
130;0.0;0.353;
131;0.0;0.372;
132;0.0;0.372;
133;0.0;0.38;
134;0.0;0.33;
135;0.0;0.325;
136;0.0;0.328;
137;0.0;0.396;
138;0.0;0.325;
139;0.0;0.393;
140;0.0;0.343;
141;0.0;0.383;
142;0.0;0.38;
143;0.0;0.378;
144;0.0;0.36;
145;0.0;0.382;
146;0.0;0.377;
147;0.0;0.377;
148;0.0;0.349;
149;0.0;0.378;
150;0.0;0.39;
151;0.0;0.375;
152;0.0;0.363;
153;0.0;0.342;
154;0.0;0.357;
155;0.0;0.349;
156;0.0;0.375;
157;0.0;0.396;
158;0.0;0.376;
159;0.0;0.332;
160;0.0;0.345;
161;0.0;0.34;
162;0.0;0.345;
163;0.0;0.333;
164;0.0;0.404;
165;0.0;0.333;
166;0.0;0.338;
167;0.0;0.313;
168;0.0;0.343;
169;0.0;0.412;
170;0.0;0.365;
171;0.0;0.334;
172;0.0;0.391;
173;0.0;0.342;
174;0.0;0.363;
175;0.0;0.404;
176;0.0;0.41;
177;0.0;0.344;
178;0.0;0.334;
179;0.0;0.37;
180;0.0;0.366;
181;0.0;0.353;
182;0.0;0.312;
183;0.0;0.336;
184;0.0;0.339;
185;0.0;0.36;
186;0.0;0.361;
187;0.0;0.352;
188;0.0;0.338;
189;0.0;0.327;
190;0.0;0.308;
191;0.0;0.383;
