nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.398;
2;0.0;0.43;
3;0.0;0.409;
4;0.0;0.4;
5;0.0;0.377;
6;0.0;0.424;
7;0.0;0.429;
8;0.0;0.366;
9;0.0;0.402;
10;0.0;0.385;
11;0.0;0.4;
12;0.0;0.4;
13;0.0;0.429;
14;0.0;0.396;
15;0.0;0.375;
16;0.0;0.378;
17;0.0;0.374;
18;0.0;0.391;
19;0.0;0.333;
20;0.0;0.329;
21;0.0;0.36;
22;0.0;0.351;
23;0.0;0.381;
24;0.0;0.364;
25;0.0;0.377;
26;0.0;0.333;
27;0.0;0.357;
28;0.0;0.353;
29;0.0;0.345;
30;0.0;0.352;
31;0.0;0.367;
32;0.0;0.371;
33;0.0;0.369;
34;0.0;0.35;
35;0.0;0.325;
36;0.0;0.318;
37;0.0;0.359;
38;0.0;0.348;
39;0.0;0.317;
40;0.0;0.359;
41;0.0;0.362;
42;0.0;0.388;
43;0.0;0.362;
44;0.0;0.333;
45;0.0;0.321;
46;0.0;0.323;
47;0.0;0.35;
48;0.0;0.374;
49;0.0;0.373;
50;0.0;0.345;
51;0.0;0.294;
52;0.0;0.34;
53;0.0;0.313;
54;0.0;0.33;
55;0.0;0.325;
56;0.0;0.364;
57;0.0;0.308;
58;0.0;0.281;
59;0.0;0.306;
60;0.0;0.334;
61;0.0;0.351;
62;0.0;0.338;
63;0.0;0.324;
64;0.0;0.371;
65;0.0;0.361;
66;0.0;0.336;
67;0.0;0.405;
68;0.0;0.346;
69;0.0;0.341;
70;0.0;0.334;
71;0.0;0.332;
72;0.0;0.337;
73;0.0;0.332;
74;0.0;0.315;
75;0.0;0.296;
76;0.0;0.324;
77;0.0;0.344;
78;0.0;0.344;
79;0.0;0.329;
80;0.0;0.29;
81;0.0;0.324;
82;0.0;0.33;
83;0.0;0.365;
84;0.0;0.32;
85;0.0;0.333;
86;0.0;0.344;
87;0.0;0.365;
88;0.0;0.35;
89;0.0;0.342;
90;0.0;0.342;
91;0.0;0.364;
92;0.0;0.325;
93;0.0;0.327;
94;0.0;0.332;
95;0.0;0.325;
96;0.0;0.345;
97;0.0;0.346;
98;0.0;0.311;
99;0.0;0.302;
100;0.0;0.312;
101;0.0;0.333;
102;0.0;0.345;
103;0.0;0.355;
104;0.0;0.315;
105;0.0;0.299;
106;0.0;0.319;
107;0.0;0.297;
108;0.0;0.304;
109;0.0;0.3;
110;0.0;0.371;
111;0.0;0.304;
112;0.0;0.299;
113;0.0;0.279;
114;0.0;0.323;
115;0.0;0.348;
116;0.0;0.323;
117;0.0;0.313;
118;0.0;0.373;
119;0.0;0.337;
120;0.0;0.311;
121;0.0;0.355;
122;0.0;0.356;
123;0.0;0.325;
124;0.0;0.306;
125;0.0;0.32;
126;0.0;0.317;
127;0.0;0.303;
128;0.0;0.285;
129;0.0;0.303;
130;0.0;0.303;
131;0.0;0.344;
132;0.0;0.331;
133;0.0;0.336;
134;0.0;0.28;
135;0.0;0.303;
136;0.0;0.302;
137;0.0;0.348;
138;0.0;0.293;
139;0.0;0.328;
140;0.0;0.301;
141;0.0;0.344;
142;0.0;0.36;
143;0.0;0.342;
144;0.0;0.32;
145;0.0;0.346;
146;0.0;0.328;
147;0.0;0.323;
148;0.0;0.313;
149;0.0;0.314;
150;0.0;0.337;
151;0.0;0.333;
152;0.0;0.306;
153;0.0;0.286;
154;0.0;0.294;
155;0.0;0.308;
156;0.0;0.333;
157;0.0;0.352;
158;0.0;0.309;
159;0.0;0.277;
160;0.0;0.307;
161;0.0;0.298;
162;0.0;0.304;
163;0.0;0.284;
164;0.0;0.349;
165;0.0;0.296;
166;0.0;0.279;
167;0.0;0.262;
168;0.0;0.291;
169;0.0;0.339;
170;0.0;0.321;
171;0.0;0.314;
172;0.0;0.356;
173;0.0;0.313;
174;0.0;0.32;
175;0.0;0.341;
176;0.0;0.347;
177;0.0;0.305;
178;0.0;0.291;
179;0.0;0.309;
180;0.0;0.308;
181;0.0;0.303;
182;0.0;0.283;
183;0.0;0.289;
184;0.0;0.311;
185;0.0;0.317;
186;0.0;0.299;
187;0.0;0.32;
188;0.0;0.292;
189;0.0;0.303;
190;0.0;0.292;
191;0.0;0.337;
