nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.397;
2;0.0;0.422;
3;0.0;0.411;
4;0.0;0.399;
5;0.0;0.384;
6;0.0;0.421;
7;0.0;0.422;
8;0.0;0.377;
9;0.0;0.404;
10;0.0;0.388;
11;0.0;0.393;
12;0.0;0.39;
13;0.0;0.421;
14;0.0;0.388;
15;0.0;0.373;
16;0.0;0.376;
17;0.0;0.376;
18;0.0;0.38;
19;0.0;0.323;
20;0.0;0.323;
21;0.0;0.344;
22;0.0;0.339;
23;0.0;0.363;
24;0.0;0.361;
25;0.0;0.345;
26;0.0;0.319;
27;0.0;0.327;
28;0.0;0.333;
29;0.0;0.315;
30;0.0;0.314;
31;0.0;0.32;
32;0.0;0.339;
33;0.0;0.331;
34;0.0;0.312;
35;0.0;0.312;
36;0.0;0.288;
37;0.0;0.33;
38;0.0;0.31;
39;0.0;0.277;
40;0.0;0.307;
41;0.0;0.334;
42;0.0;0.346;
43;0.0;0.332;
44;0.0;0.317;
45;0.0;0.28;
46;0.0;0.309;
47;0.0;0.315;
48;0.0;0.327;
49;0.0;0.345;
50;0.0;0.305;
51;0.0;0.279;
52;0.0;0.306;
53;0.0;0.283;
54;0.0;0.312;
55;0.0;0.297;
56;0.0;0.331;
57;0.0;0.295;
58;0.0;0.264;
59;0.0;0.291;
60;0.0;0.315;
61;0.0;0.336;
62;0.0;0.325;
63;0.0;0.315;
64;0.0;0.349;
65;0.0;0.337;
66;0.0;0.324;
67;0.0;0.373;
68;0.0;0.345;
69;0.0;0.335;
70;0.0;0.311;
71;0.0;0.338;
72;0.0;0.331;
73;0.0;0.311;
74;0.0;0.305;
75;0.0;0.299;
76;0.0;0.319;
77;0.0;0.341;
78;0.0;0.35;
79;0.0;0.34;
80;0.0;0.307;
81;0.0;0.327;
82;0.0;0.305;
83;0.0;0.345;
84;0.0;0.314;
85;0.0;0.348;
86;0.0;0.319;
87;0.0;0.359;
88;0.0;0.353;
89;0.0;0.346;
90;0.0;0.324;
91;0.0;0.343;
92;0.0;0.319;
93;0.0;0.317;
94;0.0;0.333;
95;0.0;0.311;
96;0.0;0.35;
97;0.0;0.358;
98;0.0;0.318;
99;0.0;0.305;
100;0.0;0.309;
101;0.0;0.324;
102;0.0;0.343;
103;0.0;0.363;
104;0.0;0.322;
105;0.0;0.299;
106;0.0;0.315;
107;0.0;0.312;
108;0.0;0.302;
109;0.0;0.293;
110;0.0;0.362;
111;0.0;0.286;
112;0.0;0.292;
113;0.0;0.29;
114;0.0;0.319;
115;0.0;0.353;
116;0.0;0.319;
117;0.0;0.298;
118;0.0;0.356;
119;0.0;0.324;
120;0.0;0.321;
121;0.0;0.363;
122;0.0;0.352;
123;0.0;0.324;
124;0.0;0.304;
125;0.0;0.324;
126;0.0;0.329;
127;0.0;0.311;
128;0.0;0.288;
129;0.0;0.298;
130;0.0;0.316;
131;0.0;0.335;
132;0.0;0.322;
133;0.0;0.335;
134;0.0;0.294;
135;0.0;0.296;
136;0.0;0.306;
137;0.0;0.347;
138;0.0;0.29;
139;0.0;0.332;
140;0.0;0.304;
141;0.0;0.334;
142;0.0;0.346;
143;0.0;0.329;
144;0.0;0.311;
145;0.0;0.325;
146;0.0;0.3;
147;0.0;0.314;
148;0.0;0.3;
149;0.0;0.298;
150;0.0;0.326;
151;0.0;0.331;
152;0.0;0.32;
153;0.0;0.294;
154;0.0;0.302;
155;0.0;0.31;
156;0.0;0.34;
157;0.0;0.345;
158;0.0;0.324;
159;0.0;0.295;
160;0.0;0.312;
161;0.0;0.283;
162;0.0;0.299;
163;0.0;0.287;
164;0.0;0.339;
165;0.0;0.3;
166;0.0;0.292;
167;0.0;0.275;
168;0.0;0.291;
169;0.0;0.34;
170;0.0;0.302;
171;0.0;0.293;
172;0.0;0.344;
173;0.0;0.315;
174;0.0;0.326;
175;0.0;0.343;
176;0.0;0.369;
177;0.0;0.309;
178;0.0;0.301;
179;0.0;0.313;
180;0.0;0.322;
181;0.0;0.315;
182;0.0;0.296;
183;0.0;0.301;
184;0.0;0.307;
185;0.0;0.337;
186;0.0;0.306;
187;0.0;0.32;
188;0.0;0.289;
189;0.0;0.296;
190;0.0;0.293;
191;0.0;0.326;
