nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.414;
2;0.0;0.44;
3;0.0;0.405;
4;0.0;0.406;
5;0.0;0.402;
6;0.0;0.45;
7;0.0;0.443;
8;0.0;0.422;
9;0.0;0.439;
10;0.0;0.408;
11;0.0;0.412;
12;0.0;0.438;
13;0.0;0.478;
14;0.0;0.443;
15;0.0;0.417;
16;0.0;0.439;
17;0.0;0.455;
18;0.0;0.464;
19;0.0;0.432;
20;0.0;0.421;
21;0.0;0.458;
22;0.0;0.461;
23;0.0;0.449;
24;0.0;0.474;
25;0.0;0.44;
26;0.0;0.414;
27;0.0;0.435;
28;0.0;0.421;
29;0.0;0.427;
30;0.0;0.426;
31;0.0;0.46;
32;0.0;0.457;
33;0.0;0.446;
34;0.0;0.416;
35;0.0;0.41;
36;0.0;0.396;
37;0.0;0.427;
38;0.0;0.405;
39;0.0;0.383;
40;0.0;0.398;
41;0.0;0.413;
42;0.0;0.409;
43;0.0;0.385;
44;0.0;0.379;
45;0.0;0.368;
46;0.0;0.372;
47;0.0;0.39;
48;0.0;0.391;
49;0.0;0.405;
50;0.0;0.396;
51;0.0;0.333;
52;0.0;0.371;
53;0.0;0.341;
54;0.0;0.368;
55;0.0;0.367;
56;0.0;0.383;
57;0.0;0.349;
58;0.0;0.347;
59;0.0;0.337;
60;0.0;0.384;
61;0.0;0.388;
62;0.0;0.381;
63;0.0;0.358;
64;0.0;0.376;
65;0.0;0.359;
66;0.0;0.364;
67;0.0;0.392;
68;0.0;0.365;
69;0.0;0.387;
70;0.0;0.378;
71;0.0;0.38;
72;0.0;0.373;
73;0.0;0.348;
74;0.0;0.325;
75;0.0;0.362;
76;0.0;0.362;
77;0.0;0.367;
78;0.0;0.37;
79;0.0;0.35;
80;0.0;0.335;
81;0.0;0.364;
82;0.0;0.333;
83;0.0;0.351;
84;0.0;0.354;
85;0.0;0.364;
86;0.0;0.346;
87;0.0;0.364;
88;0.0;0.326;
89;0.0;0.323;
90;0.0;0.326;
91;0.0;0.329;
92;0.0;0.358;
93;0.0;0.328;
94;0.0;0.342;
95;0.0;0.318;
96;0.0;0.346;
97;0.0;0.329;
98;0.0;0.335;
99;0.0;0.288;
100;0.0;0.345;
101;0.0;0.307;
102;0.0;0.318;
103;0.0;0.357;
104;0.0;0.319;
105;0.0;0.288;
106;0.0;0.295;
107;0.0;0.295;
108;0.0;0.298;
109;0.0;0.302;
110;0.0;0.344;
111;0.0;0.272;
112;0.0;0.297;
113;0.0;0.27;
114;0.0;0.316;
115;0.0;0.348;
116;0.0;0.321;
117;0.0;0.298;
118;0.0;0.336;
119;0.0;0.301;
120;0.0;0.3;
121;0.0;0.338;
122;0.0;0.341;
123;0.0;0.327;
124;0.0;0.307;
125;0.0;0.345;
126;0.0;0.318;
127;0.0;0.311;
128;0.0;0.256;
129;0.0;0.318;
130;0.0;0.304;
131;0.0;0.335;
132;0.0;0.316;
133;0.0;0.32;
134;0.0;0.294;
135;0.0;0.306;
136;0.0;0.29;
137;0.0;0.312;
138;0.0;0.291;
139;0.0;0.346;
140;0.0;0.282;
141;0.0;0.339;
142;0.0;0.322;
143;0.0;0.293;
144;0.0;0.295;
145;0.0;0.294;
146;0.0;0.339;
147;0.0;0.308;
148;0.0;0.304;
149;0.0;0.316;
150;0.0;0.343;
151;0.0;0.304;
152;0.0;0.307;
153;0.0;0.282;
154;0.0;0.317;
155;0.0;0.294;
156;0.0;0.311;
157;0.0;0.326;
158;0.0;0.329;
159;0.0;0.277;
160;0.0;0.278;
161;0.0;0.274;
162;0.0;0.293;
163;0.0;0.296;
164;0.0;0.341;
165;0.0;0.275;
166;0.0;0.293;
167;0.0;0.247;
168;0.0;0.279;
169;0.0;0.344;
170;0.0;0.349;
171;0.0;0.285;
172;0.0;0.328;
173;0.0;0.279;
174;0.0;0.292;
175;0.0;0.339;
176;0.0;0.332;
177;0.0;0.309;
178;0.0;0.302;
179;0.0;0.324;
180;0.0;0.321;
181;0.0;0.307;
182;0.0;0.261;
183;0.0;0.295;
184;0.0;0.299;
185;0.0;0.324;
186;0.0;0.312;
187;0.0;0.311;
188;0.0;0.296;
189;0.0;0.309;
190;0.0;0.272;
191;0.0;0.306;
