nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.399;
2;0.0;0.419;
3;0.0;0.412;
4;0.0;0.403;
5;0.0;0.388;
6;0.0;0.429;
7;0.0;0.426;
8;0.0;0.388;
9;0.0;0.408;
10;0.0;0.386;
11;0.0;0.392;
12;0.0;0.389;
13;0.0;0.426;
14;0.0;0.386;
15;0.0;0.37;
16;0.0;0.374;
17;0.0;0.383;
18;0.0;0.383;
19;0.0;0.317;
20;0.0;0.325;
21;0.0;0.361;
22;0.0;0.34;
23;0.0;0.366;
24;0.0;0.354;
25;0.0;0.338;
26;0.0;0.313;
27;0.0;0.314;
28;0.0;0.318;
29;0.0;0.307;
30;0.0;0.308;
31;0.0;0.323;
32;0.0;0.331;
33;0.0;0.317;
34;0.0;0.298;
35;0.0;0.288;
36;0.0;0.265;
37;0.0;0.298;
38;0.0;0.294;
39;0.0;0.269;
40;0.0;0.302;
41;0.0;0.32;
42;0.0;0.341;
43;0.0;0.325;
44;0.0;0.299;
45;0.0;0.284;
46;0.0;0.293;
47;0.0;0.315;
48;0.0;0.322;
49;0.0;0.333;
50;0.0;0.304;
51;0.0;0.277;
52;0.0;0.3;
53;0.0;0.281;
54;0.0;0.309;
55;0.0;0.293;
56;0.0;0.331;
57;0.0;0.292;
58;0.0;0.252;
59;0.0;0.275;
60;0.0;0.312;
61;0.0;0.32;
62;0.0;0.323;
63;0.0;0.292;
64;0.0;0.332;
65;0.0;0.331;
66;0.0;0.32;
67;0.0;0.37;
68;0.0;0.326;
69;0.0;0.338;
70;0.0;0.309;
71;0.0;0.322;
72;0.0;0.342;
73;0.0;0.302;
74;0.0;0.3;
75;0.0;0.292;
76;0.0;0.313;
77;0.0;0.332;
78;0.0;0.33;
79;0.0;0.322;
80;0.0;0.297;
81;0.0;0.316;
82;0.0;0.305;
83;0.0;0.329;
84;0.0;0.316;
85;0.0;0.339;
86;0.0;0.317;
87;0.0;0.329;
88;0.0;0.331;
89;0.0;0.328;
90;0.0;0.325;
91;0.0;0.326;
92;0.0;0.312;
93;0.0;0.309;
94;0.0;0.318;
95;0.0;0.324;
96;0.0;0.349;
97;0.0;0.337;
98;0.0;0.311;
99;0.0;0.303;
100;0.0;0.31;
101;0.0;0.325;
102;0.0;0.345;
103;0.0;0.364;
104;0.0;0.328;
105;0.0;0.294;
106;0.0;0.323;
107;0.0;0.32;
108;0.0;0.308;
109;0.0;0.298;
110;0.0;0.365;
111;0.0;0.288;
112;0.0;0.294;
113;0.0;0.283;
114;0.0;0.319;
115;0.0;0.341;
116;0.0;0.336;
117;0.0;0.306;
118;0.0;0.363;
119;0.0;0.339;
120;0.0;0.323;
121;0.0;0.368;
122;0.0;0.348;
123;0.0;0.326;
124;0.0;0.301;
125;0.0;0.323;
126;0.0;0.328;
127;0.0;0.315;
128;0.0;0.297;
129;0.0;0.295;
130;0.0;0.307;
131;0.0;0.342;
132;0.0;0.319;
133;0.0;0.314;
134;0.0;0.296;
135;0.0;0.302;
136;0.0;0.311;
137;0.0;0.341;
138;0.0;0.292;
139;0.0;0.351;
140;0.0;0.299;
141;0.0;0.341;
142;0.0;0.359;
143;0.0;0.318;
144;0.0;0.307;
145;0.0;0.329;
146;0.0;0.315;
147;0.0;0.319;
148;0.0;0.302;
149;0.0;0.304;
150;0.0;0.342;
151;0.0;0.34;
152;0.0;0.317;
153;0.0;0.295;
154;0.0;0.308;
155;0.0;0.319;
156;0.0;0.339;
157;0.0;0.346;
158;0.0;0.337;
159;0.0;0.292;
160;0.0;0.311;
161;0.0;0.302;
162;0.0;0.304;
163;0.0;0.281;
164;0.0;0.34;
165;0.0;0.303;
166;0.0;0.288;
167;0.0;0.272;
168;0.0;0.291;
169;0.0;0.335;
170;0.0;0.308;
171;0.0;0.302;
172;0.0;0.35;
173;0.0;0.311;
174;0.0;0.329;
175;0.0;0.35;
176;0.0;0.365;
177;0.0;0.304;
178;0.0;0.3;
179;0.0;0.319;
180;0.0;0.312;
181;0.0;0.312;
182;0.0;0.289;
183;0.0;0.298;
184;0.0;0.286;
185;0.0;0.329;
186;0.0;0.307;
187;0.0;0.309;
188;0.0;0.293;
189;0.0;0.303;
190;0.0;0.287;
191;0.0;0.328;
