nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.396;
2;0.0;0.42;
3;0.0;0.411;
4;0.0;0.402;
5;0.0;0.385;
6;0.0;0.422;
7;0.0;0.418;
8;0.0;0.381;
9;0.0;0.402;
10;0.0;0.386;
11;0.0;0.391;
12;0.0;0.389;
13;0.0;0.417;
14;0.0;0.386;
15;0.0;0.366;
16;0.0;0.375;
17;0.0;0.377;
18;0.0;0.378;
19;0.0;0.324;
20;0.0;0.323;
21;0.0;0.352;
22;0.0;0.339;
23;0.0;0.356;
24;0.0;0.347;
25;0.0;0.334;
26;0.0;0.306;
27;0.0;0.317;
28;0.0;0.32;
29;0.0;0.301;
30;0.0;0.31;
31;0.0;0.309;
32;0.0;0.333;
33;0.0;0.32;
34;0.0;0.298;
35;0.0;0.288;
36;0.0;0.272;
37;0.0;0.312;
38;0.0;0.304;
39;0.0;0.277;
40;0.0;0.316;
41;0.0;0.334;
42;0.0;0.345;
43;0.0;0.324;
44;0.0;0.31;
45;0.0;0.285;
46;0.0;0.295;
47;0.0;0.315;
48;0.0;0.337;
49;0.0;0.342;
50;0.0;0.309;
51;0.0;0.288;
52;0.0;0.313;
53;0.0;0.285;
54;0.0;0.315;
55;0.0;0.303;
56;0.0;0.342;
57;0.0;0.31;
58;0.0;0.274;
59;0.0;0.299;
60;0.0;0.329;
61;0.0;0.348;
62;0.0;0.34;
63;0.0;0.315;
64;0.0;0.344;
65;0.0;0.339;
66;0.0;0.328;
67;0.0;0.387;
68;0.0;0.338;
69;0.0;0.34;
70;0.0;0.317;
71;0.0;0.322;
72;0.0;0.325;
73;0.0;0.303;
74;0.0;0.301;
75;0.0;0.281;
76;0.0;0.312;
77;0.0;0.338;
78;0.0;0.327;
79;0.0;0.323;
80;0.0;0.31;
81;0.0;0.312;
82;0.0;0.307;
83;0.0;0.329;
84;0.0;0.316;
85;0.0;0.343;
86;0.0;0.33;
87;0.0;0.332;
88;0.0;0.338;
89;0.0;0.333;
90;0.0;0.319;
91;0.0;0.327;
92;0.0;0.299;
93;0.0;0.317;
94;0.0;0.318;
95;0.0;0.321;
96;0.0;0.348;
97;0.0;0.341;
98;0.0;0.294;
99;0.0;0.284;
100;0.0;0.297;
101;0.0;0.32;
102;0.0;0.337;
103;0.0;0.361;
104;0.0;0.306;
105;0.0;0.295;
106;0.0;0.311;
107;0.0;0.307;
108;0.0;0.297;
109;0.0;0.297;
110;0.0;0.363;
111;0.0;0.282;
112;0.0;0.282;
113;0.0;0.281;
114;0.0;0.321;
115;0.0;0.344;
116;0.0;0.327;
117;0.0;0.306;
118;0.0;0.358;
119;0.0;0.327;
120;0.0;0.314;
121;0.0;0.381;
122;0.0;0.361;
123;0.0;0.339;
124;0.0;0.312;
125;0.0;0.337;
126;0.0;0.335;
127;0.0;0.3;
128;0.0;0.28;
129;0.0;0.301;
130;0.0;0.296;
131;0.0;0.333;
132;0.0;0.303;
133;0.0;0.322;
134;0.0;0.293;
135;0.0;0.295;
136;0.0;0.31;
137;0.0;0.329;
138;0.0;0.292;
139;0.0;0.341;
140;0.0;0.308;
141;0.0;0.334;
142;0.0;0.346;
143;0.0;0.319;
144;0.0;0.305;
145;0.0;0.324;
146;0.0;0.313;
147;0.0;0.316;
148;0.0;0.304;
149;0.0;0.304;
150;0.0;0.323;
151;0.0;0.318;
152;0.0;0.292;
153;0.0;0.279;
154;0.0;0.301;
155;0.0;0.318;
156;0.0;0.333;
157;0.0;0.34;
158;0.0;0.321;
159;0.0;0.292;
160;0.0;0.306;
161;0.0;0.29;
162;0.0;0.302;
163;0.0;0.283;
164;0.0;0.351;
165;0.0;0.301;
166;0.0;0.288;
167;0.0;0.274;
168;0.0;0.285;
169;0.0;0.333;
170;0.0;0.317;
171;0.0;0.315;
172;0.0;0.374;
173;0.0;0.322;
174;0.0;0.328;
175;0.0;0.356;
176;0.0;0.359;
177;0.0;0.311;
178;0.0;0.312;
179;0.0;0.321;
180;0.0;0.318;
181;0.0;0.307;
182;0.0;0.292;
183;0.0;0.293;
184;0.0;0.295;
185;0.0;0.314;
186;0.0;0.29;
187;0.0;0.308;
188;0.0;0.288;
189;0.0;0.301;
190;0.0;0.291;
191;0.0;0.346;
