nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.409;
2;0.0;0.442;
3;0.0;0.419;
4;0.0;0.413;
5;0.0;0.414;
6;0.0;0.475;
7;0.0;0.462;
8;0.0;0.429;
9;0.0;0.447;
10;0.0;0.41;
11;0.0;0.415;
12;0.0;0.447;
13;0.0;0.481;
14;0.0;0.44;
15;0.0;0.433;
16;0.0;0.437;
17;0.0;0.451;
18;0.0;0.458;
19;0.0;0.424;
20;0.0;0.43;
21;0.0;0.429;
22;0.0;0.442;
23;0.0;0.435;
24;0.0;0.45;
25;0.0;0.412;
26;0.0;0.41;
27;0.0;0.418;
28;0.0;0.425;
29;0.0;0.44;
30;0.0;0.419;
31;0.0;0.432;
32;0.0;0.439;
33;0.0;0.431;
34;0.0;0.416;
35;0.0;0.399;
36;0.0;0.403;
37;0.0;0.446;
38;0.0;0.436;
39;0.0;0.392;
40;0.0;0.4;
41;0.0;0.405;
42;0.0;0.413;
43;0.0;0.394;
44;0.0;0.396;
45;0.0;0.377;
46;0.0;0.392;
47;0.0;0.391;
48;0.0;0.398;
49;0.0;0.423;
50;0.0;0.397;
51;0.0;0.345;
52;0.0;0.375;
53;0.0;0.344;
54;0.0;0.36;
55;0.0;0.374;
56;0.0;0.395;
57;0.0;0.363;
58;0.0;0.329;
59;0.0;0.346;
60;0.0;0.388;
61;0.0;0.394;
62;0.0;0.387;
63;0.0;0.362;
64;0.0;0.402;
65;0.0;0.376;
66;0.0;0.36;
67;0.0;0.413;
68;0.0;0.376;
69;0.0;0.404;
70;0.0;0.385;
71;0.0;0.395;
72;0.0;0.373;
73;0.0;0.361;
74;0.0;0.332;
75;0.0;0.36;
76;0.0;0.369;
77;0.0;0.385;
78;0.0;0.392;
79;0.0;0.374;
80;0.0;0.359;
81;0.0;0.361;
82;0.0;0.359;
83;0.0;0.384;
84;0.0;0.36;
85;0.0;0.388;
86;0.0;0.362;
87;0.0;0.388;
88;0.0;0.355;
89;0.0;0.347;
90;0.0;0.366;
91;0.0;0.378;
92;0.0;0.385;
93;0.0;0.348;
94;0.0;0.363;
95;0.0;0.356;
96;0.0;0.387;
97;0.0;0.371;
98;0.0;0.355;
99;0.0;0.308;
100;0.0;0.356;
101;0.0;0.332;
102;0.0;0.345;
103;0.0;0.384;
104;0.0;0.36;
105;0.0;0.323;
106;0.0;0.328;
107;0.0;0.332;
108;0.0;0.332;
109;0.0;0.341;
110;0.0;0.386;
111;0.0;0.324;
112;0.0;0.311;
113;0.0;0.304;
114;0.0;0.355;
115;0.0;0.389;
116;0.0;0.36;
117;0.0;0.307;
118;0.0;0.353;
119;0.0;0.332;
120;0.0;0.329;
121;0.0;0.38;
122;0.0;0.386;
123;0.0;0.347;
124;0.0;0.327;
125;0.0;0.373;
126;0.0;0.351;
127;0.0;0.347;
128;0.0;0.293;
129;0.0;0.33;
130;0.0;0.34;
131;0.0;0.365;
132;0.0;0.35;
133;0.0;0.36;
134;0.0;0.329;
135;0.0;0.334;
136;0.0;0.323;
137;0.0;0.366;
138;0.0;0.315;
139;0.0;0.37;
140;0.0;0.311;
141;0.0;0.357;
142;0.0;0.347;
143;0.0;0.339;
144;0.0;0.317;
145;0.0;0.341;
146;0.0;0.366;
147;0.0;0.332;
148;0.0;0.319;
149;0.0;0.347;
150;0.0;0.352;
151;0.0;0.337;
152;0.0;0.316;
153;0.0;0.312;
154;0.0;0.329;
155;0.0;0.317;
156;0.0;0.336;
157;0.0;0.359;
158;0.0;0.358;
159;0.0;0.314;
160;0.0;0.305;
161;0.0;0.309;
162;0.0;0.324;
163;0.0;0.336;
164;0.0;0.379;
165;0.0;0.315;
166;0.0;0.309;
167;0.0;0.287;
168;0.0;0.325;
169;0.0;0.382;
170;0.0;0.362;
171;0.0;0.303;
172;0.0;0.354;
173;0.0;0.324;
174;0.0;0.333;
175;0.0;0.38;
176;0.0;0.378;
177;0.0;0.341;
178;0.0;0.338;
179;0.0;0.339;
180;0.0;0.357;
181;0.0;0.348;
182;0.0;0.304;
183;0.0;0.313;
184;0.0;0.332;
185;0.0;0.352;
186;0.0;0.352;
187;0.0;0.355;
188;0.0;0.337;
189;0.0;0.327;
190;0.0;0.295;
191;0.0;0.361;
