nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.395;
2;0.0;0.422;
3;0.0;0.414;
4;0.0;0.401;
5;0.0;0.388;
6;0.0;0.433;
7;0.0;0.429;
8;0.0;0.389;
9;0.0;0.405;
10;0.0;0.378;
11;0.0;0.397;
12;0.0;0.39;
13;0.0;0.412;
14;0.0;0.384;
15;0.0;0.371;
16;0.0;0.372;
17;0.0;0.382;
18;0.0;0.38;
19;0.0;0.323;
20;0.0;0.328;
21;0.0;0.357;
22;0.0;0.346;
23;0.0;0.366;
24;0.0;0.351;
25;0.0;0.341;
26;0.0;0.319;
27;0.0;0.324;
28;0.0;0.323;
29;0.0;0.323;
30;0.0;0.309;
31;0.0;0.32;
32;0.0;0.336;
33;0.0;0.336;
34;0.0;0.304;
35;0.0;0.29;
36;0.0;0.264;
37;0.0;0.304;
38;0.0;0.288;
39;0.0;0.277;
40;0.0;0.304;
41;0.0;0.321;
42;0.0;0.35;
43;0.0;0.33;
44;0.0;0.314;
45;0.0;0.282;
46;0.0;0.304;
47;0.0;0.327;
48;0.0;0.326;
49;0.0;0.336;
50;0.0;0.305;
51;0.0;0.28;
52;0.0;0.305;
53;0.0;0.285;
54;0.0;0.309;
55;0.0;0.302;
56;0.0;0.335;
57;0.0;0.296;
58;0.0;0.264;
59;0.0;0.28;
60;0.0;0.309;
61;0.0;0.33;
62;0.0;0.315;
63;0.0;0.292;
64;0.0;0.334;
65;0.0;0.341;
66;0.0;0.317;
67;0.0;0.378;
68;0.0;0.344;
69;0.0;0.325;
70;0.0;0.311;
71;0.0;0.331;
72;0.0;0.333;
73;0.0;0.309;
74;0.0;0.301;
75;0.0;0.292;
76;0.0;0.327;
77;0.0;0.335;
78;0.0;0.35;
79;0.0;0.315;
80;0.0;0.301;
81;0.0;0.315;
82;0.0;0.298;
83;0.0;0.331;
84;0.0;0.317;
85;0.0;0.344;
86;0.0;0.311;
87;0.0;0.338;
88;0.0;0.33;
89;0.0;0.324;
90;0.0;0.314;
91;0.0;0.328;
92;0.0;0.317;
93;0.0;0.311;
94;0.0;0.315;
95;0.0;0.308;
96;0.0;0.352;
97;0.0;0.365;
98;0.0;0.306;
99;0.0;0.302;
100;0.0;0.322;
101;0.0;0.324;
102;0.0;0.342;
103;0.0;0.368;
104;0.0;0.321;
105;0.0;0.315;
106;0.0;0.33;
107;0.0;0.32;
108;0.0;0.3;
109;0.0;0.307;
110;0.0;0.372;
111;0.0;0.294;
112;0.0;0.292;
113;0.0;0.285;
114;0.0;0.333;
115;0.0;0.355;
116;0.0;0.353;
117;0.0;0.333;
118;0.0;0.359;
119;0.0;0.335;
120;0.0;0.34;
121;0.0;0.381;
122;0.0;0.366;
123;0.0;0.34;
124;0.0;0.307;
125;0.0;0.338;
126;0.0;0.35;
127;0.0;0.308;
128;0.0;0.297;
129;0.0;0.318;
130;0.0;0.321;
131;0.0;0.338;
132;0.0;0.327;
133;0.0;0.338;
134;0.0;0.3;
135;0.0;0.31;
136;0.0;0.3;
137;0.0;0.354;
138;0.0;0.293;
139;0.0;0.345;
140;0.0;0.305;
141;0.0;0.345;
142;0.0;0.339;
143;0.0;0.338;
144;0.0;0.317;
145;0.0;0.334;
146;0.0;0.344;
147;0.0;0.342;
148;0.0;0.314;
149;0.0;0.321;
150;0.0;0.351;
151;0.0;0.342;
152;0.0;0.318;
153;0.0;0.294;
154;0.0;0.315;
155;0.0;0.321;
156;0.0;0.347;
157;0.0;0.359;
158;0.0;0.342;
159;0.0;0.297;
160;0.0;0.321;
161;0.0;0.308;
162;0.0;0.308;
163;0.0;0.304;
164;0.0;0.363;
165;0.0;0.327;
166;0.0;0.305;
167;0.0;0.282;
168;0.0;0.3;
169;0.0;0.373;
170;0.0;0.317;
171;0.0;0.311;
172;0.0;0.363;
173;0.0;0.317;
174;0.0;0.342;
175;0.0;0.346;
176;0.0;0.374;
177;0.0;0.316;
178;0.0;0.312;
179;0.0;0.329;
180;0.0;0.335;
181;0.0;0.323;
182;0.0;0.304;
183;0.0;0.293;
184;0.0;0.31;
185;0.0;0.345;
186;0.0;0.322;
187;0.0;0.323;
188;0.0;0.297;
189;0.0;0.3;
190;0.0;0.285;
191;0.0;0.34;
