nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.396;
2;0.0;0.429;
3;0.0;0.41;
4;0.0;0.402;
5;0.0;0.375;
6;0.0;0.427;
7;0.0;0.419;
8;0.0;0.372;
9;0.0;0.4;
10;0.0;0.379;
11;0.0;0.39;
12;0.0;0.393;
13;0.0;0.426;
14;0.0;0.387;
15;0.0;0.383;
16;0.0;0.377;
17;0.0;0.38;
18;0.0;0.393;
19;0.0;0.338;
20;0.0;0.334;
21;0.0;0.351;
22;0.0;0.343;
23;0.0;0.385;
24;0.0;0.374;
25;0.0;0.376;
26;0.0;0.339;
27;0.0;0.357;
28;0.0;0.356;
29;0.0;0.337;
30;0.0;0.336;
31;0.0;0.362;
32;0.0;0.371;
33;0.0;0.37;
34;0.0;0.339;
35;0.0;0.325;
36;0.0;0.318;
37;0.0;0.341;
38;0.0;0.329;
39;0.0;0.315;
40;0.0;0.333;
41;0.0;0.341;
42;0.0;0.367;
43;0.0;0.358;
44;0.0;0.334;
45;0.0;0.313;
46;0.0;0.319;
47;0.0;0.334;
48;0.0;0.356;
49;0.0;0.354;
50;0.0;0.337;
51;0.0;0.299;
52;0.0;0.327;
53;0.0;0.293;
54;0.0;0.322;
55;0.0;0.315;
56;0.0;0.362;
57;0.0;0.313;
58;0.0;0.289;
59;0.0;0.315;
60;0.0;0.356;
61;0.0;0.349;
62;0.0;0.337;
63;0.0;0.344;
64;0.0;0.366;
65;0.0;0.362;
66;0.0;0.337;
67;0.0;0.407;
68;0.0;0.347;
69;0.0;0.342;
70;0.0;0.332;
71;0.0;0.344;
72;0.0;0.355;
73;0.0;0.35;
74;0.0;0.327;
75;0.0;0.319;
76;0.0;0.349;
77;0.0;0.35;
78;0.0;0.359;
79;0.0;0.347;
80;0.0;0.307;
81;0.0;0.329;
82;0.0;0.322;
83;0.0;0.359;
84;0.0;0.328;
85;0.0;0.369;
86;0.0;0.335;
87;0.0;0.366;
88;0.0;0.345;
89;0.0;0.337;
90;0.0;0.352;
91;0.0;0.36;
92;0.0;0.33;
93;0.0;0.338;
94;0.0;0.34;
95;0.0;0.334;
96;0.0;0.359;
97;0.0;0.367;
98;0.0;0.335;
99;0.0;0.311;
100;0.0;0.314;
101;0.0;0.34;
102;0.0;0.366;
103;0.0;0.37;
104;0.0;0.333;
105;0.0;0.311;
106;0.0;0.324;
107;0.0;0.326;
108;0.0;0.323;
109;0.0;0.318;
110;0.0;0.386;
111;0.0;0.31;
112;0.0;0.306;
113;0.0;0.292;
114;0.0;0.333;
115;0.0;0.362;
116;0.0;0.316;
117;0.0;0.311;
118;0.0;0.37;
119;0.0;0.336;
120;0.0;0.324;
121;0.0;0.36;
122;0.0;0.35;
123;0.0;0.319;
124;0.0;0.304;
125;0.0;0.333;
126;0.0;0.335;
127;0.0;0.32;
128;0.0;0.302;
129;0.0;0.304;
130;0.0;0.318;
131;0.0;0.338;
132;0.0;0.318;
133;0.0;0.343;
134;0.0;0.298;
135;0.0;0.297;
136;0.0;0.3;
137;0.0;0.343;
138;0.0;0.291;
139;0.0;0.339;
140;0.0;0.299;
141;0.0;0.342;
142;0.0;0.359;
143;0.0;0.34;
144;0.0;0.315;
145;0.0;0.36;
146;0.0;0.329;
147;0.0;0.33;
148;0.0;0.314;
149;0.0;0.314;
150;0.0;0.344;
151;0.0;0.342;
152;0.0;0.323;
153;0.0;0.294;
154;0.0;0.306;
155;0.0;0.313;
156;0.0;0.344;
157;0.0;0.361;
158;0.0;0.339;
159;0.0;0.3;
160;0.0;0.317;
161;0.0;0.304;
162;0.0;0.314;
163;0.0;0.283;
164;0.0;0.354;
165;0.0;0.328;
166;0.0;0.301;
167;0.0;0.29;
168;0.0;0.298;
169;0.0;0.366;
170;0.0;0.315;
171;0.0;0.314;
172;0.0;0.363;
173;0.0;0.313;
174;0.0;0.329;
175;0.0;0.344;
176;0.0;0.363;
177;0.0;0.325;
178;0.0;0.319;
179;0.0;0.329;
180;0.0;0.324;
181;0.0;0.317;
182;0.0;0.29;
183;0.0;0.297;
184;0.0;0.32;
185;0.0;0.341;
186;0.0;0.315;
187;0.0;0.326;
188;0.0;0.299;
189;0.0;0.309;
190;0.0;0.288;
191;0.0;0.338;
