nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.408;
2;0.0;0.439;
3;0.0;0.41;
4;0.0;0.409;
5;0.0;0.41;
6;0.0;0.475;
7;0.0;0.457;
8;0.0;0.431;
9;0.0;0.455;
10;0.0;0.421;
11;0.0;0.42;
12;0.0;0.45;
13;0.0;0.48;
14;0.0;0.441;
15;0.0;0.421;
16;0.0;0.426;
17;0.0;0.444;
18;0.0;0.455;
19;0.0;0.414;
20;0.0;0.415;
21;0.0;0.427;
22;0.0;0.435;
23;0.0;0.438;
24;0.0;0.459;
25;0.0;0.422;
26;0.0;0.402;
27;0.0;0.428;
28;0.0;0.419;
29;0.0;0.429;
30;0.0;0.426;
31;0.0;0.434;
32;0.0;0.437;
33;0.0;0.421;
34;0.0;0.398;
35;0.0;0.383;
36;0.0;0.397;
37;0.0;0.43;
38;0.0;0.434;
39;0.0;0.385;
40;0.0;0.395;
41;0.0;0.412;
42;0.0;0.423;
43;0.0;0.391;
44;0.0;0.395;
45;0.0;0.386;
46;0.0;0.4;
47;0.0;0.384;
48;0.0;0.399;
49;0.0;0.418;
50;0.0;0.398;
51;0.0;0.34;
52;0.0;0.381;
53;0.0;0.361;
54;0.0;0.365;
55;0.0;0.37;
56;0.0;0.405;
57;0.0;0.358;
58;0.0;0.336;
59;0.0;0.337;
60;0.0;0.387;
61;0.0;0.393;
62;0.0;0.38;
63;0.0;0.359;
64;0.0;0.397;
65;0.0;0.376;
66;0.0;0.362;
67;0.0;0.421;
68;0.0;0.373;
69;0.0;0.396;
70;0.0;0.374;
71;0.0;0.389;
72;0.0;0.371;
73;0.0;0.342;
74;0.0;0.323;
75;0.0;0.35;
76;0.0;0.37;
77;0.0;0.376;
78;0.0;0.389;
79;0.0;0.361;
80;0.0;0.348;
81;0.0;0.362;
82;0.0;0.354;
83;0.0;0.381;
84;0.0;0.356;
85;0.0;0.379;
86;0.0;0.364;
87;0.0;0.396;
88;0.0;0.347;
89;0.0;0.345;
90;0.0;0.363;
91;0.0;0.358;
92;0.0;0.381;
93;0.0;0.341;
94;0.0;0.36;
95;0.0;0.344;
96;0.0;0.372;
97;0.0;0.35;
98;0.0;0.353;
99;0.0;0.313;
100;0.0;0.36;
101;0.0;0.33;
102;0.0;0.342;
103;0.0;0.378;
104;0.0;0.35;
105;0.0;0.305;
106;0.0;0.317;
107;0.0;0.317;
108;0.0;0.33;
109;0.0;0.336;
110;0.0;0.376;
111;0.0;0.314;
112;0.0;0.31;
113;0.0;0.299;
114;0.0;0.348;
115;0.0;0.392;
116;0.0;0.354;
117;0.0;0.31;
118;0.0;0.371;
119;0.0;0.34;
120;0.0;0.339;
121;0.0;0.393;
122;0.0;0.377;
123;0.0;0.359;
124;0.0;0.333;
125;0.0;0.364;
126;0.0;0.339;
127;0.0;0.347;
128;0.0;0.293;
129;0.0;0.334;
130;0.0;0.334;
131;0.0;0.358;
132;0.0;0.351;
133;0.0;0.361;
134;0.0;0.331;
135;0.0;0.347;
136;0.0;0.329;
137;0.0;0.376;
138;0.0;0.33;
139;0.0;0.375;
140;0.0;0.31;
141;0.0;0.364;
142;0.0;0.368;
143;0.0;0.349;
144;0.0;0.332;
145;0.0;0.338;
146;0.0;0.373;
147;0.0;0.337;
148;0.0;0.323;
149;0.0;0.341;
150;0.0;0.352;
151;0.0;0.332;
152;0.0;0.33;
153;0.0;0.3;
154;0.0;0.321;
155;0.0;0.31;
156;0.0;0.333;
157;0.0;0.354;
158;0.0;0.367;
159;0.0;0.302;
160;0.0;0.304;
161;0.0;0.306;
162;0.0;0.325;
163;0.0;0.316;
164;0.0;0.361;
165;0.0;0.312;
166;0.0;0.304;
167;0.0;0.275;
168;0.0;0.32;
169;0.0;0.377;
170;0.0;0.357;
171;0.0;0.295;
172;0.0;0.346;
173;0.0;0.326;
174;0.0;0.331;
175;0.0;0.367;
176;0.0;0.363;
177;0.0;0.325;
178;0.0;0.328;
179;0.0;0.334;
180;0.0;0.344;
181;0.0;0.322;
182;0.0;0.285;
183;0.0;0.306;
184;0.0;0.32;
185;0.0;0.339;
186;0.0;0.336;
187;0.0;0.332;
188;0.0;0.319;
189;0.0;0.316;
190;0.0;0.299;
191;0.0;0.35;
