nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.406;
2;0.0;0.423;
3;0.0;0.411;
4;0.0;0.408;
5;0.0;0.376;
6;0.0;0.421;
7;0.0;0.422;
8;0.0;0.377;
9;0.0;0.397;
10;0.0;0.372;
11;0.0;0.388;
12;0.0;0.38;
13;0.0;0.412;
14;0.0;0.375;
15;0.0;0.367;
16;0.0;0.359;
17;0.0;0.369;
18;0.0;0.376;
19;0.0;0.319;
20;0.0;0.315;
21;0.0;0.336;
22;0.0;0.335;
23;0.0;0.351;
24;0.0;0.356;
25;0.0;0.344;
26;0.0;0.32;
27;0.0;0.327;
28;0.0;0.332;
29;0.0;0.325;
30;0.0;0.319;
31;0.0;0.335;
32;0.0;0.351;
33;0.0;0.334;
34;0.0;0.314;
35;0.0;0.308;
36;0.0;0.296;
37;0.0;0.341;
38;0.0;0.333;
39;0.0;0.307;
40;0.0;0.323;
41;0.0;0.329;
42;0.0;0.354;
43;0.0;0.339;
44;0.0;0.32;
45;0.0;0.297;
46;0.0;0.31;
47;0.0;0.32;
48;0.0;0.345;
49;0.0;0.33;
50;0.0;0.312;
51;0.0;0.285;
52;0.0;0.307;
53;0.0;0.29;
54;0.0;0.311;
55;0.0;0.3;
56;0.0;0.338;
57;0.0;0.291;
58;0.0;0.261;
59;0.0;0.292;
60;0.0;0.323;
61;0.0;0.353;
62;0.0;0.322;
63;0.0;0.313;
64;0.0;0.346;
65;0.0;0.352;
66;0.0;0.332;
67;0.0;0.387;
68;0.0;0.329;
69;0.0;0.328;
70;0.0;0.306;
71;0.0;0.323;
72;0.0;0.334;
73;0.0;0.307;
74;0.0;0.308;
75;0.0;0.287;
76;0.0;0.319;
77;0.0;0.327;
78;0.0;0.344;
79;0.0;0.319;
80;0.0;0.301;
81;0.0;0.309;
82;0.0;0.299;
83;0.0;0.348;
84;0.0;0.309;
85;0.0;0.343;
86;0.0;0.319;
87;0.0;0.354;
88;0.0;0.335;
89;0.0;0.327;
90;0.0;0.323;
91;0.0;0.332;
92;0.0;0.319;
93;0.0;0.314;
94;0.0;0.315;
95;0.0;0.315;
96;0.0;0.351;
97;0.0;0.348;
98;0.0;0.31;
99;0.0;0.291;
100;0.0;0.31;
101;0.0;0.332;
102;0.0;0.341;
103;0.0;0.361;
104;0.0;0.306;
105;0.0;0.295;
106;0.0;0.316;
107;0.0;0.306;
108;0.0;0.307;
109;0.0;0.31;
110;0.0;0.352;
111;0.0;0.283;
112;0.0;0.294;
113;0.0;0.282;
114;0.0;0.319;
115;0.0;0.342;
116;0.0;0.325;
117;0.0;0.309;
118;0.0;0.361;
119;0.0;0.336;
120;0.0;0.322;
121;0.0;0.375;
122;0.0;0.349;
123;0.0;0.328;
124;0.0;0.301;
125;0.0;0.322;
126;0.0;0.318;
127;0.0;0.301;
128;0.0;0.284;
129;0.0;0.303;
130;0.0;0.306;
131;0.0;0.336;
132;0.0;0.315;
133;0.0;0.329;
134;0.0;0.294;
135;0.0;0.296;
136;0.0;0.285;
137;0.0;0.332;
138;0.0;0.28;
139;0.0;0.331;
140;0.0;0.299;
141;0.0;0.334;
142;0.0;0.344;
143;0.0;0.325;
144;0.0;0.295;
145;0.0;0.325;
146;0.0;0.312;
147;0.0;0.32;
148;0.0;0.302;
149;0.0;0.311;
150;0.0;0.324;
151;0.0;0.328;
152;0.0;0.317;
153;0.0;0.292;
154;0.0;0.311;
155;0.0;0.317;
156;0.0;0.329;
157;0.0;0.354;
158;0.0;0.34;
159;0.0;0.292;
160;0.0;0.312;
161;0.0;0.305;
162;0.0;0.314;
163;0.0;0.294;
164;0.0;0.361;
165;0.0;0.322;
166;0.0;0.311;
167;0.0;0.271;
168;0.0;0.298;
169;0.0;0.351;
170;0.0;0.321;
171;0.0;0.307;
172;0.0;0.359;
173;0.0;0.321;
174;0.0;0.339;
175;0.0;0.367;
176;0.0;0.362;
177;0.0;0.315;
178;0.0;0.317;
179;0.0;0.324;
180;0.0;0.331;
181;0.0;0.316;
182;0.0;0.285;
183;0.0;0.3;
184;0.0;0.311;
185;0.0;0.324;
186;0.0;0.317;
187;0.0;0.32;
188;0.0;0.294;
189;0.0;0.303;
190;0.0;0.277;
191;0.0;0.341;
