nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.412;
2;0.0;0.44;
3;0.0;0.414;
4;0.0;0.415;
5;0.0;0.41;
6;0.0;0.467;
7;0.0;0.453;
8;0.0;0.432;
9;0.0;0.45;
10;0.0;0.422;
11;0.0;0.422;
12;0.0;0.454;
13;0.0;0.488;
14;0.0;0.445;
15;0.0;0.426;
16;0.0;0.438;
17;0.0;0.453;
18;0.0;0.469;
19;0.0;0.428;
20;0.0;0.424;
21;0.0;0.456;
22;0.0;0.451;
23;0.0;0.458;
24;0.0;0.475;
25;0.0;0.435;
26;0.0;0.418;
27;0.0;0.455;
28;0.0;0.422;
29;0.0;0.432;
30;0.0;0.444;
31;0.0;0.466;
32;0.0;0.453;
33;0.0;0.443;
34;0.0;0.412;
35;0.0;0.398;
36;0.0;0.4;
37;0.0;0.442;
38;0.0;0.421;
39;0.0;0.396;
40;0.0;0.402;
41;0.0;0.417;
42;0.0;0.426;
43;0.0;0.395;
44;0.0;0.399;
45;0.0;0.398;
46;0.0;0.396;
47;0.0;0.411;
48;0.0;0.423;
49;0.0;0.429;
50;0.0;0.426;
51;0.0;0.351;
52;0.0;0.392;
53;0.0;0.361;
54;0.0;0.379;
55;0.0;0.382;
56;0.0;0.417;
57;0.0;0.384;
58;0.0;0.36;
59;0.0;0.362;
60;0.0;0.418;
61;0.0;0.409;
62;0.0;0.405;
63;0.0;0.378;
64;0.0;0.403;
65;0.0;0.393;
66;0.0;0.378;
67;0.0;0.411;
68;0.0;0.386;
69;0.0;0.406;
70;0.0;0.393;
71;0.0;0.396;
72;0.0;0.386;
73;0.0;0.376;
74;0.0;0.333;
75;0.0;0.375;
76;0.0;0.382;
77;0.0;0.39;
78;0.0;0.399;
79;0.0;0.365;
80;0.0;0.35;
81;0.0;0.365;
82;0.0;0.35;
83;0.0;0.371;
84;0.0;0.375;
85;0.0;0.383;
86;0.0;0.366;
87;0.0;0.405;
88;0.0;0.35;
89;0.0;0.353;
90;0.0;0.366;
91;0.0;0.375;
92;0.0;0.388;
93;0.0;0.354;
94;0.0;0.358;
95;0.0;0.355;
96;0.0;0.367;
97;0.0;0.361;
98;0.0;0.357;
99;0.0;0.317;
100;0.0;0.371;
101;0.0;0.33;
102;0.0;0.342;
103;0.0;0.38;
104;0.0;0.341;
105;0.0;0.309;
106;0.0;0.322;
107;0.0;0.321;
108;0.0;0.316;
109;0.0;0.333;
110;0.0;0.367;
111;0.0;0.3;
112;0.0;0.311;
113;0.0;0.285;
114;0.0;0.339;
115;0.0;0.363;
116;0.0;0.353;
117;0.0;0.325;
118;0.0;0.367;
119;0.0;0.327;
120;0.0;0.325;
121;0.0;0.38;
122;0.0;0.371;
123;0.0;0.349;
124;0.0;0.33;
125;0.0;0.364;
126;0.0;0.337;
127;0.0;0.336;
128;0.0;0.285;
129;0.0;0.34;
130;0.0;0.328;
131;0.0;0.358;
132;0.0;0.332;
133;0.0;0.336;
134;0.0;0.312;
135;0.0;0.331;
136;0.0;0.306;
137;0.0;0.339;
138;0.0;0.31;
139;0.0;0.365;
140;0.0;0.306;
141;0.0;0.36;
142;0.0;0.346;
143;0.0;0.32;
144;0.0;0.311;
145;0.0;0.318;
146;0.0;0.36;
147;0.0;0.328;
148;0.0;0.317;
149;0.0;0.328;
150;0.0;0.363;
151;0.0;0.331;
152;0.0;0.324;
153;0.0;0.295;
154;0.0;0.326;
155;0.0;0.302;
156;0.0;0.32;
157;0.0;0.337;
158;0.0;0.338;
159;0.0;0.29;
160;0.0;0.292;
161;0.0;0.294;
162;0.0;0.315;
163;0.0;0.313;
164;0.0;0.352;
165;0.0;0.295;
166;0.0;0.314;
167;0.0;0.266;
168;0.0;0.3;
169;0.0;0.377;
170;0.0;0.359;
171;0.0;0.296;
172;0.0;0.343;
173;0.0;0.307;
174;0.0;0.323;
175;0.0;0.345;
176;0.0;0.362;
177;0.0;0.321;
178;0.0;0.321;
179;0.0;0.336;
180;0.0;0.34;
181;0.0;0.325;
182;0.0;0.281;
183;0.0;0.302;
184;0.0;0.317;
185;0.0;0.34;
186;0.0;0.325;
187;0.0;0.331;
188;0.0;0.308;
189;0.0;0.329;
190;0.0;0.303;
191;0.0;0.335;
